prec_id,Annie Ward Mobley,election
bertie_C1,137,nc_house_of_representatives_district_5
bertie_C2,193,nc_house_of_representatives_district_5
bertie_IW,109,nc_house_of_representatives_district_5
bertie_M1,155,nc_house_of_representatives_district_5
bertie_M2,278,nc_house_of_representatives_district_5
bertie_MH,142,nc_house_of_representatives_district_5
bertie_RX,400,nc_house_of_representatives_district_5
bertie_SN,167,nc_house_of_representatives_district_5
bertie_W1,506,nc_house_of_representatives_district_5
bertie_W2,107,nc_house_of_representatives_district_5
bertie_WD,287,nc_house_of_representatives_district_5
bertie_WH,195,nc_house_of_representatives_district_5
gates_1,270,nc_house_of_representatives_district_5
gates_2,215,nc_house_of_representatives_district_5
gates_3,445,nc_house_of_representatives_district_5
gates_4N,331,nc_house_of_representatives_district_5
gates_4S,297,nc_house_of_representatives_district_5
gates_5,277,nc_house_of_representatives_district_5
hertford_A1,382,nc_house_of_representatives_district_5
hertford_A2,341,nc_house_of_representatives_district_5
hertford_A3,303,nc_house_of_representatives_district_5
hertford_BR,143,nc_house_of_representatives_district_5
hertford_CM,134,nc_house_of_representatives_district_5
hertford_CO,175,nc_house_of_representatives_district_5
hertford_HV,255,nc_house_of_representatives_district_5
hertford_M1,492,nc_house_of_representatives_district_5
hertford_M2,237,nc_house_of_representatives_district_5
hertford_ML,78,nc_house_of_representatives_district_5
hertford_SJ,249,nc_house_of_representatives_district_5
hertford_UN,167,nc_house_of_representatives_district_5
hertford_WN,172,nc_house_of_representatives_district_5
pasquotank_1-A,140,nc_house_of_representatives_district_5
pasquotank_1-B,129,nc_house_of_representatives_district_5
pasquotank_2-A,86,nc_house_of_representatives_district_5
pasquotank_2-B,154,nc_house_of_representatives_district_5
pasquotank_3-A,163,nc_house_of_representatives_district_5
pasquotank_3-B,220,nc_house_of_representatives_district_5
pasquotank_4-A,180,nc_house_of_representatives_district_5
pasquotank_4-B,381,nc_house_of_representatives_district_5
pasquotank_MH,437,nc_house_of_representatives_district_5
pasquotank_NEW,158,nc_house_of_representatives_district_5
pasquotank_PRO,72,nc_house_of_representatives_district_5
