prec_id,John M. Blust,Kent P. Wilsey,election
guilford_CG1,92,64,nc_house_of_representatives_district_62
guilford_FR1,943,411,nc_house_of_representatives_district_62
guilford_FR2,1085,303,nc_house_of_representatives_district_62
guilford_FR3,755,213,nc_house_of_representatives_district_62
guilford_FR4,746,193,nc_house_of_representatives_district_62
guilford_FR5A,907,284,nc_house_of_representatives_district_62
guilford_FR5B,712,205,nc_house_of_representatives_district_62
guilford_G37,275,121,nc_house_of_representatives_district_62
guilford_G38,883,418,nc_house_of_representatives_district_62
guilford_G39,570,289,nc_house_of_representatives_district_62
guilford_G40A1,708,262,nc_house_of_representatives_district_62
guilford_G40A2,509,182,nc_house_of_representatives_district_62
guilford_G40B,707,201,nc_house_of_representatives_district_62
guilford_G41A,604,237,nc_house_of_representatives_district_62
guilford_G41B,815,245,nc_house_of_representatives_district_62
guilford_G42A,952,268,nc_house_of_representatives_district_62
guilford_G42B,250,23,nc_house_of_representatives_district_62
guilford_G43,410,308,nc_house_of_representatives_district_62
guilford_G62,429,260,nc_house_of_representatives_district_62
guilford_G64,46,15,nc_house_of_representatives_district_62
guilford_G65,807,485,nc_house_of_representatives_district_62
guilford_G66,990,413,nc_house_of_representatives_district_62
guilford_H29A,534,190,nc_house_of_representatives_district_62
guilford_H29B,703,371,nc_house_of_representatives_district_62
guilford_JAM2,182,82,nc_house_of_representatives_district_62
guilford_NDRI,1224,199,nc_house_of_representatives_district_62
guilford_OR1,1815,363,nc_house_of_representatives_district_62
guilford_OR2,1323,254,nc_house_of_representatives_district_62
guilford_SF1,1681,325,nc_house_of_representatives_district_62
guilford_SF2,906,159,nc_house_of_representatives_district_62
guilford_SF3,1337,374,nc_house_of_representatives_district_62
guilford_SF4,1724,473,nc_house_of_representatives_district_62
guilford_STOK,1977,372,nc_house_of_representatives_district_62
guilford_CURBSIDE,12,5,nc_house_of_representatives_district_62
