prec_id,Patty Philipps,Stephen M. Ross,election
alamance_03C,395,1279,nc_house_of_representatives_district_63
alamance_063,792,434,nc_house_of_representatives_district_63
alamance_064,889,1691,nc_house_of_representatives_district_63
alamance_06E,687,710,nc_house_of_representatives_district_63
alamance_06N,904,438,nc_house_of_representatives_district_63
alamance_06S,638,1111,nc_house_of_representatives_district_63
alamance_06W,293,282,nc_house_of_representatives_district_63
alamance_09N,479,737,nc_house_of_representatives_district_63
alamance_09S,1072,1611,nc_house_of_representatives_district_63
alamance_103,532,1170,nc_house_of_representatives_district_63
alamance_10N,975,1405,nc_house_of_representatives_district_63
alamance_10S,2097,1982,nc_house_of_representatives_district_63
alamance_11,1252,871,nc_house_of_representatives_district_63
alamance_124,498,743,nc_house_of_representatives_district_63
alamance_125,439,904,nc_house_of_representatives_district_63
alamance_126,399,1008,nc_house_of_representatives_district_63
alamance_129,307,760,nc_house_of_representatives_district_63
alamance_1210,524,552,nc_house_of_representatives_district_63
alamance_12W,561,788,nc_house_of_representatives_district_63
alamance_13,1137,959,nc_house_of_representatives_district_63
alamance_CURBSIDE,0,0,nc_house_of_representatives_district_63
