prec_id,Morris McAdoo,Dennis Riddell,election
alamance_01,456,1647,nc_house_of_representatives_district_64
alamance_02,390,1925,nc_house_of_representatives_district_64
alamance_035,767,1355,nc_house_of_representatives_district_64
alamance_03C,67,71,nc_house_of_representatives_district_64
alamance_03N,821,1340,nc_house_of_representatives_district_64
alamance_03N2,231,237,nc_house_of_representatives_district_64
alamance_03S,1300,2044,nc_house_of_representatives_district_64
alamance_03W,510,1110,nc_house_of_representatives_district_64
alamance_04,613,1910,nc_house_of_representatives_district_64
alamance_05,343,1340,nc_house_of_representatives_district_64
alamance_063,153,154,nc_house_of_representatives_district_64
alamance_06W,47,36,nc_house_of_representatives_district_64
alamance_07,396,1551,nc_house_of_representatives_district_64
alamance_08N,600,1129,nc_house_of_representatives_district_64
alamance_08S,265,691,nc_house_of_representatives_district_64
alamance_127,1932,597,nc_house_of_representatives_district_64
alamance_128,778,337,nc_house_of_representatives_district_64
alamance_12E,573,343,nc_house_of_representatives_district_64
alamance_12N,1973,267,nc_house_of_representatives_district_64
alamance_12S,506,212,nc_house_of_representatives_district_64
alamance_CURBSIDE,0,0,nc_house_of_representatives_district_64
