prec_id,Ken Goodman,election
hoke_02,305,nc_house_of_representatives_district_66
hoke_04,168,nc_house_of_representatives_district_66
hoke_05,261,nc_house_of_representatives_district_66
hoke_06A,1933,nc_house_of_representatives_district_66
hoke_12,1105,nc_house_of_representatives_district_66
hoke_13,429,nc_house_of_representatives_district_66
hoke_14,1349,nc_house_of_representatives_district_66
hoke_63,65,nc_house_of_representatives_district_66
hoke_ACCUMULATED,0,nc_house_of_representatives_district_66
montgomery_CHE,168,nc_house_of_representatives_district_66
montgomery_MTG,652,nc_house_of_representatives_district_66
montgomery_ROC,282,nc_house_of_representatives_district_66
richmond_01,291,nc_house_of_representatives_district_66
richmond_02,925,nc_house_of_representatives_district_66
richmond_03,199,nc_house_of_representatives_district_66
richmond_04,256,nc_house_of_representatives_district_66
richmond_05,107,nc_house_of_representatives_district_66
richmond_06,326,nc_house_of_representatives_district_66
richmond_07,74,nc_house_of_representatives_district_66
richmond_08,177,nc_house_of_representatives_district_66
richmond_09,687,nc_house_of_representatives_district_66
richmond_10,145,nc_house_of_representatives_district_66
richmond_11,172,nc_house_of_representatives_district_66
richmond_12,189,nc_house_of_representatives_district_66
richmond_13,247,nc_house_of_representatives_district_66
richmond_14,79,nc_house_of_representatives_district_66
richmond_15,51,nc_house_of_representatives_district_66
richmond_16,74,nc_house_of_representatives_district_66
richmond_ACCUMULATED,0,nc_house_of_representatives_district_66
robeson_10,195,nc_house_of_representatives_district_66
robeson_21,612,nc_house_of_representatives_district_66
robeson_31,510,nc_house_of_representatives_district_66
robeson_32,248,nc_house_of_representatives_district_66
robeson_CURBSIDE,0,nc_house_of_representatives_district_66
robeson_ACCUMULATED,0,nc_house_of_representatives_district_66
scotland_1,99,nc_house_of_representatives_district_66
scotland_2,3,nc_house_of_representatives_district_66
scotland_3,781,nc_house_of_representatives_district_66
scotland_4,1083,nc_house_of_representatives_district_66
scotland_8,390,nc_house_of_representatives_district_66
scotland_9,737,nc_house_of_representatives_district_66
scotland_10,336,nc_house_of_representatives_district_66
