prec_id,Kevin Furr,Justin P. Burr,election
montgomery_BIS,302,260,nc_house_of_representatives_district_67
montgomery_CAN,334,298,nc_house_of_representatives_district_67
montgomery_ELD,107,359,nc_house_of_representatives_district_67
montgomery_LIT,73,174,nc_house_of_representatives_district_67
montgomery_MTG,70,5,nc_house_of_representatives_district_67
montgomery_OPH,46,113,nc_house_of_representatives_district_67
montgomery_PEE,126,291,nc_house_of_representatives_district_67
montgomery_STA,216,451,nc_house_of_representatives_district_67
montgomery_T1,323,287,nc_house_of_representatives_district_67
montgomery_T2,176,231,nc_house_of_representatives_district_67
montgomery_UWH,137,333,nc_house_of_representatives_district_67
montgomery_WAD,137,99,nc_house_of_representatives_district_67
stanly_0002,105,153,nc_house_of_representatives_district_67
stanly_0003,252,230,nc_house_of_representatives_district_67
stanly_0007,192,254,nc_house_of_representatives_district_67
stanly_0008,434,38,nc_house_of_representatives_district_67
stanly_0010,174,250,nc_house_of_representatives_district_67
stanly_0011,103,219,nc_house_of_representatives_district_67
stanly_0012,68,144,nc_house_of_representatives_district_67
stanly_0013,130,294,nc_house_of_representatives_district_67
stanly_0014,122,206,nc_house_of_representatives_district_67
stanly_0015,247,218,nc_house_of_representatives_district_67
stanly_0016,145,210,nc_house_of_representatives_district_67
stanly_0017,147,322,nc_house_of_representatives_district_67
stanly_0018,142,287,nc_house_of_representatives_district_67
stanly_0019,137,421,nc_house_of_representatives_district_67
stanly_0020,142,570,nc_house_of_representatives_district_67
stanly_0021,93,310,nc_house_of_representatives_district_67
stanly_0022,235,467,nc_house_of_representatives_district_67
stanly_0023,170,704,nc_house_of_representatives_district_67
stanly_0024,129,517,nc_house_of_representatives_district_67
stanly_0025,205,712,nc_house_of_representatives_district_67
stanly_0026,190,371,nc_house_of_representatives_district_67
stanly_0027,202,368,nc_house_of_representatives_district_67
stanly_0028,159,169,nc_house_of_representatives_district_67
