prec_id,Paul Tine,Mattie Lawson,election
beaufort_BEADM,161,361,nc_house_of_representatives_district_6
beaufort_BELHV,220,225,nc_house_of_representatives_district_6
beaufort_GILEA,140,185,nc_house_of_representatives_district_6
beaufort_HB,83,279,nc_house_of_representatives_district_6
beaufort_NCRK,150,372,nc_house_of_representatives_district_6
beaufort_OLDF,193,185,nc_house_of_representatives_district_6
beaufort_PANTE,200,275,nc_house_of_representatives_district_6
beaufort_PINET,105,275,nc_house_of_representatives_district_6
beaufort_RVRD,228,275,nc_house_of_representatives_district_6
beaufort_SURBA,233,454,nc_house_of_representatives_district_6
beaufort_TCRK,287,369,nc_house_of_representatives_district_6
beaufort_WASH1,8,11,nc_house_of_representatives_district_6
beaufort_WASH4,156,119,nc_house_of_representatives_district_6
beaufort_WASHP,179,179,nc_house_of_representatives_district_6
beaufort_WDPD,180,259,nc_house_of_representatives_district_6
dare_AVON,178,222,nc_house_of_representatives_district_6
dare_BUX,272,379,nc_house_of_representatives_district_6
dare_CHCA,172,133,nc_house_of_representatives_district_6
dare_COL,887,957,nc_house_of_representatives_district_6
dare_DUCK,161,123,nc_house_of_representatives_district_6
dare_EL,26,16,nc_house_of_representatives_district_6
dare_FRCO,170,244,nc_house_of_representatives_district_6
dare_HAT,121,174,nc_house_of_representatives_district_6
dare_KDH,1463,1386,nc_house_of_representatives_district_6
dare_KTHK,821,909,nc_house_of_representatives_district_6
dare_MATO,1579,1287,nc_house_of_representatives_district_6
dare_MH,140,185,nc_house_of_representatives_district_6
dare_NGHD,747,731,nc_house_of_representatives_district_6
dare_SOSH,1061,1093,nc_house_of_representatives_district_6
dare_STPT,30,64,nc_house_of_representatives_district_6
dare_WAN,195,454,nc_house_of_representatives_district_6
dare_CURBSIDE,0,0,nc_house_of_representatives_district_6
dare_ACCUMULATED,0,0,nc_house_of_representatives_district_6
hyde_BM,23,123,nc_house_of_representatives_district_6
hyde_ENG,201,113,nc_house_of_representatives_district_6
hyde_FF,112,74,nc_house_of_representatives_district_6
hyde_LL,156,73,nc_house_of_representatives_district_6
hyde_OCK,238,53,nc_house_of_representatives_district_6
hyde_SLAD,81,96,nc_house_of_representatives_district_6
hyde_SQ,101,117,nc_house_of_representatives_district_6
washington_LM,365,131,nc_house_of_representatives_district_6
washington_P1,168,69,nc_house_of_representatives_district_6
washington_P2,192,51,nc_house_of_representatives_district_6
washington_P3,317,241,nc_house_of_representatives_district_6
washington_SC,310,279,nc_house_of_representatives_district_6
washington_SK,191,148,nc_house_of_representatives_district_6
