prec_id,Pat B. Hurley,election
randolph_01,480,nc_house_of_representatives_district_70
randolph_02,414,nc_house_of_representatives_district_70
randolph_03,720,nc_house_of_representatives_district_70
randolph_05,219,nc_house_of_representatives_district_70
randolph_06,387,nc_house_of_representatives_district_70
randolph_07,388,nc_house_of_representatives_district_70
randolph_08,235,nc_house_of_representatives_district_70
randolph_09,335,nc_house_of_representatives_district_70
randolph_10,467,nc_house_of_representatives_district_70
randolph_12,449,nc_house_of_representatives_district_70
randolph_13,844,nc_house_of_representatives_district_70
randolph_22,776,nc_house_of_representatives_district_70
randolph_25,626,nc_house_of_representatives_district_70
randolph_26,645,nc_house_of_representatives_district_70
randolph_28,519,nc_house_of_representatives_district_70
randolph_32,1113,nc_house_of_representatives_district_70
randolph_33,395,nc_house_of_representatives_district_70
randolph_37,519,nc_house_of_representatives_district_70
randolph_38,997,nc_house_of_representatives_district_70
randolph_39,807,nc_house_of_representatives_district_70
