prec_id,Donny C. Lambeth,election
forsyth_011,2302,nc_house_of_representatives_district_75
forsyth_012,1508,nc_house_of_representatives_district_75
forsyth_013,1948,nc_house_of_representatives_district_75
forsyth_014,1183,nc_house_of_representatives_district_75
forsyth_015,1032,nc_house_of_representatives_district_75
forsyth_042,1048,nc_house_of_representatives_district_75
forsyth_043,851,nc_house_of_representatives_district_75
forsyth_051,1502,nc_house_of_representatives_district_75
forsyth_052,728,nc_house_of_representatives_district_75
forsyth_053,1207,nc_house_of_representatives_district_75
forsyth_054,1563,nc_house_of_representatives_district_75
forsyth_055,1763,nc_house_of_representatives_district_75
forsyth_063,2132,nc_house_of_representatives_district_75
forsyth_065,2091,nc_house_of_representatives_district_75
forsyth_122,691,nc_house_of_representatives_district_75
forsyth_507,1090,nc_house_of_representatives_district_75
forsyth_601,95,nc_house_of_representatives_district_75
forsyth_602,450,nc_house_of_representatives_district_75
forsyth_604,216,nc_house_of_representatives_district_75
forsyth_607,810,nc_house_of_representatives_district_75
forsyth_702,644,nc_house_of_representatives_district_75
forsyth_703,445,nc_house_of_representatives_district_75
forsyth_704,689,nc_house_of_representatives_district_75
forsyth_705,523,nc_house_of_representatives_district_75
forsyth_708,1489,nc_house_of_representatives_district_75
forsyth_709,1073,nc_house_of_representatives_district_75
