prec_id,Cristina Victoria Vazquez,Julia Craven Howard,election
davie_01,179,528,nc_house_of_representatives_district_79
davie_02,146,524,nc_house_of_representatives_district_79
davie_03,347,1289,nc_house_of_representatives_district_79
davie_04,314,748,nc_house_of_representatives_district_79
davie_05,293,1340,nc_house_of_representatives_district_79
davie_06,259,798,nc_house_of_representatives_district_79
davie_07,280,837,nc_house_of_representatives_district_79
davie_08,545,749,nc_house_of_representatives_district_79
davie_09,408,985,nc_house_of_representatives_district_79
davie_10,326,1201,nc_house_of_representatives_district_79
davie_11,171,914,nc_house_of_representatives_district_79
davie_12,549,1852,nc_house_of_representatives_district_79
davie_13,429,1507,nc_house_of_representatives_district_79
davie_14,334,1029,nc_house_of_representatives_district_79
davie_CURBSIDE,70,163,nc_house_of_representatives_district_79
forsyth_071,794,1795,nc_house_of_representatives_district_79
forsyth_072,1168,2536,nc_house_of_representatives_district_79
forsyth_073,535,1621,nc_house_of_representatives_district_79
forsyth_074,871,1218,nc_house_of_representatives_district_79
forsyth_075,119,369,nc_house_of_representatives_district_79
forsyth_123,823,1072,nc_house_of_representatives_district_79
forsyth_133,619,1570,nc_house_of_representatives_district_79
forsyth_706,508,391,nc_house_of_representatives_district_79
forsyth_806,256,347,nc_house_of_representatives_district_79
forsyth_807,565,866,nc_house_of_representatives_district_79
forsyth_808,743,652,nc_house_of_representatives_district_79
