prec_id,Sarah Stevens,election
surry_01,910,nc_house_of_representatives_district_90
surry_02,237,nc_house_of_representatives_district_90
surry_03,1052,nc_house_of_representatives_district_90
surry_04,944,nc_house_of_representatives_district_90
surry_05,1268,nc_house_of_representatives_district_90
surry_06,608,nc_house_of_representatives_district_90
surry_07,513,nc_house_of_representatives_district_90
surry_08,885,nc_house_of_representatives_district_90
surry_09,599,nc_house_of_representatives_district_90
surry_10,605,nc_house_of_representatives_district_90
surry_11,593,nc_house_of_representatives_district_90
surry_12,892,nc_house_of_representatives_district_90
surry_13,615,nc_house_of_representatives_district_90
surry_14,846,nc_house_of_representatives_district_90
surry_15,758,nc_house_of_representatives_district_90
surry_16,698,nc_house_of_representatives_district_90
surry_17,557,nc_house_of_representatives_district_90
surry_18,1038,nc_house_of_representatives_district_90
surry_19,1034,nc_house_of_representatives_district_90
surry_20,483,nc_house_of_representatives_district_90
surry_21,1043,nc_house_of_representatives_district_90
surry_22,577,nc_house_of_representatives_district_90
surry_23,747,nc_house_of_representatives_district_90
surry_24,418,nc_house_of_representatives_district_90
surry_25,824,nc_house_of_representatives_district_90
surry_26,1247,nc_house_of_representatives_district_90
surry_27,733,nc_house_of_representatives_district_90
surry_28,625,nc_house_of_representatives_district_90
surry_33,713,nc_house_of_representatives_district_90
surry_CURBSIDE,0,nc_house_of_representatives_district_90
wilkes_107,204,nc_house_of_representatives_district_90
wilkes_124,468,nc_house_of_representatives_district_90
