prec_id,Nelson Cole,Bryan Holloway,election
rockingham_HO,162,226,nc_house_of_representatives_district_91
rockingham_MA,1139,1395,nc_house_of_representatives_district_91
rockingham_MC,1520,993,nc_house_of_representatives_district_91
rockingham_MS,3498,2031,nc_house_of_representatives_district_91
rockingham_NB,117,266,nc_house_of_representatives_district_91
rockingham_WS,1846,2423,nc_house_of_representatives_district_91
stokes_01,80,234,nc_house_of_representatives_district_91
stokes_02,272,495,nc_house_of_representatives_district_91
stokes_03,99,491,nc_house_of_representatives_district_91
stokes_04,128,472,nc_house_of_representatives_district_91
stokes_05,110,243,nc_house_of_representatives_district_91
stokes_06,87,242,nc_house_of_representatives_district_91
stokes_07,85,185,nc_house_of_representatives_district_91
stokes_08,116,381,nc_house_of_representatives_district_91
stokes_09,240,550,nc_house_of_representatives_district_91
stokes_10,211,651,nc_house_of_representatives_district_91
stokes_11,192,664,nc_house_of_representatives_district_91
stokes_12,164,577,nc_house_of_representatives_district_91
stokes_13,122,523,nc_house_of_representatives_district_91
stokes_14,200,593,nc_house_of_representatives_district_91
stokes_15,155,409,nc_house_of_representatives_district_91
stokes_16,219,281,nc_house_of_representatives_district_91
stokes_17,162,342,nc_house_of_representatives_district_91
stokes_18,125,76,nc_house_of_representatives_district_91
stokes_19,142,281,nc_house_of_representatives_district_91
stokes_20,188,401,nc_house_of_representatives_district_91
