prec_id,Robin Bradford,Charles Jeter,election
mecklenburg_114,696,1273,nc_house_of_representatives_district_92
mecklenburg_122,1948,1301,nc_house_of_representatives_district_92
mecklenburg_134,1718,2165,nc_house_of_representatives_district_92
mecklenburg_138,101,58,nc_house_of_representatives_district_92
mecklenburg_142,443,598,nc_house_of_representatives_district_92
mecklenburg_143,1249,2378,nc_house_of_representatives_district_92
mecklenburg_200,520,495,nc_house_of_representatives_district_92
mecklenburg_209,1183,1520,nc_house_of_representatives_district_92
mecklenburg_223.1,890,1195,nc_house_of_representatives_district_92
mecklenburg_224,232,469,nc_house_of_representatives_district_92
mecklenburg_225,128,157,nc_house_of_representatives_district_92
mecklenburg_228,1083,516,nc_house_of_representatives_district_92
mecklenburg_229,2049,1974,nc_house_of_representatives_district_92
mecklenburg_230,1735,1023,nc_house_of_representatives_district_92
mecklenburg_243,3009,2026,nc_house_of_representatives_district_92
mecklenburg_CURBSIDE,221,122,nc_house_of_representatives_district_92
