prec_id,Cliff Moone,Andy Wells,election
catawba_07,794,1007,nc_house_of_representatives_district_96
catawba_08,476,1143,nc_house_of_representatives_district_96
catawba_11,320,337,nc_house_of_representatives_district_96
catawba_13,575,284,nc_house_of_representatives_district_96
catawba_14,407,677,nc_house_of_representatives_district_96
catawba_15,593,13,nc_house_of_representatives_district_96
catawba_16,685,690,nc_house_of_representatives_district_96
catawba_17,427,496,nc_house_of_representatives_district_96
catawba_19,294,399,nc_house_of_representatives_district_96
catawba_23,784,1757,nc_house_of_representatives_district_96
catawba_24,759,1808,nc_house_of_representatives_district_96
catawba_26,481,742,nc_house_of_representatives_district_96
catawba_28,689,1280,nc_house_of_representatives_district_96
catawba_29,423,1123,nc_house_of_representatives_district_96
catawba_30,974,1279,nc_house_of_representatives_district_96
catawba_33,1101,2606,nc_house_of_representatives_district_96
catawba_36,514,973,nc_house_of_representatives_district_96
catawba_37,703,800,nc_house_of_representatives_district_96
catawba_38,674,1238,nc_house_of_representatives_district_96
catawba_39,427,1120,nc_house_of_representatives_district_96
catawba_CURBSIDE,154,193,nc_house_of_representatives_district_96
