prec_id,Marian N. McLawhorn,Brian Brown,election
pitt_0401,9,19,nc_house_of_representatives_district_9
pitt_0501,132,258,nc_house_of_representatives_district_9
pitt_0601,230,517,nc_house_of_representatives_district_9
pitt_1001,518,428,nc_house_of_representatives_district_9
pitt_1101,248,208,nc_house_of_representatives_district_9
pitt_1102A,227,325,nc_house_of_representatives_district_9
pitt_1102B,303,565,nc_house_of_representatives_district_9
pitt_1201,337,368,nc_house_of_representatives_district_9
pitt_1301,145,179,nc_house_of_representatives_district_9
pitt_1403A2,91,132,nc_house_of_representatives_district_9
pitt_1403B,152,248,nc_house_of_representatives_district_9
pitt_1507,446,330,nc_house_of_representatives_district_9
pitt_1507B,201,163,nc_house_of_representatives_district_9
pitt_1508A,154,127,nc_house_of_representatives_district_9
pitt_1508B,342,261,nc_house_of_representatives_district_9
pitt_1509,429,557,nc_house_of_representatives_district_9
pitt_1510A,298,352,nc_house_of_representatives_district_9
pitt_1510B,324,348,nc_house_of_representatives_district_9
pitt_1511A,308,421,nc_house_of_representatives_district_9
pitt_1511B,312,409,nc_house_of_representatives_district_9
pitt_1513A,205,255,nc_house_of_representatives_district_9
pitt_1513B,168,229,nc_house_of_representatives_district_9
