prec_id,Clarence A. Bender,Buck Newton,election
johnston_PR09,193,513,nc_state_senate_district_11
johnston_PR10A,227,213,nc_state_senate_district_11
johnston_PR10B,118,272,nc_state_senate_district_11
johnston_PR11A,51,110,nc_state_senate_district_11
johnston_PR11B,333,513,nc_state_senate_district_11
johnston_PR12A,27,130,nc_state_senate_district_11
johnston_PR19,129,327,nc_state_senate_district_11
johnston_PR20,415,739,nc_state_senate_district_11
johnston_PR21,186,722,nc_state_senate_district_11
johnston_PR22,30,40,nc_state_senate_district_11
johnston_PR24,358,253,nc_state_senate_district_11
johnston_PR25,316,352,nc_state_senate_district_11
johnston_PR26,200,73,nc_state_senate_district_11
johnston_PR27A,180,189,nc_state_senate_district_11
johnston_PR27B,138,159,nc_state_senate_district_11
johnston_PR28,179,298,nc_state_senate_district_11
johnston_PR29A,221,601,nc_state_senate_district_11
johnston_PR29B,394,828,nc_state_senate_district_11
johnston_PR30,312,463,nc_state_senate_district_11
johnston_PR32,264,630,nc_state_senate_district_11
johnston_PR34,256,228,nc_state_senate_district_11
johnston_PR36,102,316,nc_state_senate_district_11
nash_0001,380,756,nc_state_senate_district_11
nash_0003,180,304,nc_state_senate_district_11
nash_0004,108,668,nc_state_senate_district_11
nash_0005,356,578,nc_state_senate_district_11
nash_0006,196,464,nc_state_senate_district_11
nash_0008,177,405,nc_state_senate_district_11
nash_0011,281,333,nc_state_senate_district_11
nash_0012,71,230,nc_state_senate_district_11
nash_0015,359,528,nc_state_senate_district_11
nash_0025,218,525,nc_state_senate_district_11
nash_0026,114,668,nc_state_senate_district_11
nash_0034,1,0,nc_state_senate_district_11
nash_0037,318,381,nc_state_senate_district_11
nash_0039,182,472,nc_state_senate_district_11
nash_0041,105,268,nc_state_senate_district_11
wilson_PRBL,462,1273,nc_state_senate_district_11
wilson_PRCR,479,1008,nc_state_senate_district_11
wilson_PRGA,342,690,nc_state_senate_district_11
wilson_PROL,625,1796,nc_state_senate_district_11
wilson_PRSA,389,332,nc_state_senate_district_11
wilson_PRSP,453,829,nc_state_senate_district_11
wilson_PRST,486,400,nc_state_senate_district_11
wilson_PRTA,1615,2466,nc_state_senate_district_11
wilson_PRTO,67,223,nc_state_senate_district_11
wilson_PRWD,338,874,nc_state_senate_district_11
wilson_PRWJ,1281,1146,nc_state_senate_district_11
wilson_PRWK,356,814,nc_state_senate_district_11
wilson_PRWL,723,1040,nc_state_senate_district_11
wilson_PRWM,1315,1519,nc_state_senate_district_11
wilson_PRWP,338,859,nc_state_senate_district_11
wilson_CURBSIDE,148,120,nc_state_senate_district_11
