prec_id,Dan Blue,election
wake_43843,45,nc_state_senate_district_14
wake_43844,76,nc_state_senate_district_14
wake_43848,272,nc_state_senate_district_14
wake_43849,526,nc_state_senate_district_14
wake_43850,484,nc_state_senate_district_14
wake_43851,54,nc_state_senate_district_14
wake_43852,764,nc_state_senate_district_14
wake_43853,0,nc_state_senate_district_14
wake_43855,56,nc_state_senate_district_14
wake_43856,471,nc_state_senate_district_14
wake_43857,260,nc_state_senate_district_14
wake_43858,886,nc_state_senate_district_14
wake_12420,611,nc_state_senate_district_14
wake_12785,483,nc_state_senate_district_14
wake_13881,132,nc_state_senate_district_14
wake_14611,930,nc_state_senate_district_14
wake_15707,280,nc_state_senate_district_14
wake_16072,735,nc_state_senate_district_14
wake_16803,889,nc_state_senate_district_14
wake_18264,543,nc_state_senate_district_14
wake_44075,209,nc_state_senate_district_14
wake_44106,355,nc_state_senate_district_14
wake_44107,33,nc_state_senate_district_14
wake_44108,694,nc_state_senate_district_14
wake_13-01,907,nc_state_senate_district_14
wake_13-05,423,nc_state_senate_district_14
wake_13-07,450,nc_state_senate_district_14
wake_13-08,543,nc_state_senate_district_14
wake_13-09,830,nc_state_senate_district_14
wake_16-01,10,nc_state_senate_district_14
wake_16-02,956,nc_state_senate_district_14
wake_16-03,151,nc_state_senate_district_14
wake_16-04,144,nc_state_senate_district_14
wake_16-06,152,nc_state_senate_district_14
wake_16-08,1162,nc_state_senate_district_14
wake_16-09,100,nc_state_senate_district_14
wake_17-01,590,nc_state_senate_district_14
wake_17-02,109,nc_state_senate_district_14
wake_17-03,790,nc_state_senate_district_14
wake_17-04,479,nc_state_senate_district_14
wake_17-05,730,nc_state_senate_district_14
wake_17-07,576,nc_state_senate_district_14
wake_17-08,1127,nc_state_senate_district_14
wake_17-09,727,nc_state_senate_district_14
wake_17-10,289,nc_state_senate_district_14
wake_17-11,785,nc_state_senate_district_14
wake_18-01,61,nc_state_senate_district_14
wake_18-04,68,nc_state_senate_district_14
wake_19-04,29,nc_state_senate_district_14
wake_19-17,285,nc_state_senate_district_14
