prec_id,Doug Berger,Chad Barefoot,election
franklin_01,1000,445,nc_state_senate_district_18
franklin_02,619,415,nc_state_senate_district_18
franklin_03,1098,984,nc_state_senate_district_18
franklin_05,570,850,nc_state_senate_district_18
franklin_06,674,478,nc_state_senate_district_18
franklin_07,301,758,nc_state_senate_district_18
franklin_08,756,1057,nc_state_senate_district_18
franklin_09,464,618,nc_state_senate_district_18
franklin_10,312,404,nc_state_senate_district_18
franklin_11,762,443,nc_state_senate_district_18
franklin_12,440,442,nc_state_senate_district_18
franklin_13,417,819,nc_state_senate_district_18
franklin_14,944,1646,nc_state_senate_district_18
franklin_15,1367,584,nc_state_senate_district_18
franklin_16,910,551,nc_state_senate_district_18
franklin_17,755,1402,nc_state_senate_district_18
franklin_18,631,1118,nc_state_senate_district_18
franklin_19,1090,1665,nc_state_senate_district_18
wake_44075,165,597,nc_state_senate_district_18
wake_44076,782,622,nc_state_senate_district_18
wake_44077,322,586,nc_state_senate_district_18
wake_44105,128,326,nc_state_senate_district_18
wake_44106,239,370,nc_state_senate_district_18
wake_44107,415,555,nc_state_senate_district_18
wake_44108,195,456,nc_state_senate_district_18
wake_44166,118,276,nc_state_senate_district_18
wake_44169,393,903,nc_state_senate_district_18
wake_44170,53,75,nc_state_senate_district_18
wake_44171,108,221,nc_state_senate_district_18
wake_44172,260,541,nc_state_senate_district_18
wake_15-01,409,921,nc_state_senate_district_18
wake_15-02,566,1138,nc_state_senate_district_18
wake_15-03,455,1137,nc_state_senate_district_18
wake_15-04,233,473,nc_state_senate_district_18
wake_16-01,249,480,nc_state_senate_district_18
wake_16-03,155,201,nc_state_senate_district_18
wake_16-04,214,358,nc_state_senate_district_18
wake_16-05,312,466,nc_state_senate_district_18
wake_16-06,108,127,nc_state_senate_district_18
wake_16-07,462,708,nc_state_senate_district_18
wake_16-08,44,110,nc_state_senate_district_18
wake_16-09,313,397,nc_state_senate_district_18
wake_17-02,56,75,nc_state_senate_district_18
wake_17-03,45,93,nc_state_senate_district_18
wake_17-04,182,291,nc_state_senate_district_18
wake_17-06,259,436,nc_state_senate_district_18
wake_17-08,19,21,nc_state_senate_district_18
wake_18-04,66,82,nc_state_senate_district_18
wake_18-07,41,127,nc_state_senate_district_18
wake_19-04,663,1115,nc_state_senate_district_18
wake_19-07,386,450,nc_state_senate_district_18
wake_19-09,426,961,nc_state_senate_district_18
wake_19-10,663,1450,nc_state_senate_district_18
wake_19-16,354,496,nc_state_senate_district_18
wake_19-17,389,478,nc_state_senate_district_18
