prec_id,"Floyd B. McKissick, Jr.",election
durham_01,97,nc_state_senate_district_20
durham_02,231,nc_state_senate_district_20
durham_03,71,nc_state_senate_district_20
durham_04,10,nc_state_senate_district_20
durham_05,129,nc_state_senate_district_20
durham_06,51,nc_state_senate_district_20
durham_07,76,nc_state_senate_district_20
durham_08,374,nc_state_senate_district_20
durham_09,220,nc_state_senate_district_20
durham_10,256,nc_state_senate_district_20
durham_12,183,nc_state_senate_district_20
durham_13,323,nc_state_senate_district_20
durham_14,423,nc_state_senate_district_20
durham_15,331,nc_state_senate_district_20
durham_16,10,nc_state_senate_district_20
durham_17,576,nc_state_senate_district_20
durham_18,472,nc_state_senate_district_20
durham_19,566,nc_state_senate_district_20
durham_20,32,nc_state_senate_district_20
durham_21,408,nc_state_senate_district_20
durham_22,1002,nc_state_senate_district_20
durham_23,882,nc_state_senate_district_20
durham_24,204,nc_state_senate_district_20
durham_25,0,nc_state_senate_district_20
durham_29,560,nc_state_senate_district_20
durham_30-1,373,nc_state_senate_district_20
durham_30-2,757,nc_state_senate_district_20
durham_31,109,nc_state_senate_district_20
durham_33,173,nc_state_senate_district_20
durham_34-1,459,nc_state_senate_district_20
durham_34-2,609,nc_state_senate_district_20
durham_35.3,227,nc_state_senate_district_20
durham_36,39,nc_state_senate_district_20
durham_37,5,nc_state_senate_district_20
durham_38,226,nc_state_senate_district_20
durham_39,110,nc_state_senate_district_20
durham_40,186,nc_state_senate_district_20
durham_41,363,nc_state_senate_district_20
durham_42,283,nc_state_senate_district_20
durham_43,53,nc_state_senate_district_20
durham_44,63,nc_state_senate_district_20
durham_45,31,nc_state_senate_district_20
durham_46,479,nc_state_senate_district_20
durham_47,409,nc_state_senate_district_20
durham_48,70,nc_state_senate_district_20
durham_50,54,nc_state_senate_district_20
durham_52,576,nc_state_senate_district_20
durham_53-1,34,nc_state_senate_district_20
durham_54,661,nc_state_senate_district_20
durham_55-11,411,nc_state_senate_district_20
durham_55-49,297,nc_state_senate_district_20
granville_ANTI,728,nc_state_senate_district_20
granville_BERE,743,nc_state_senate_district_20
granville_BTNR,1390,nc_state_senate_district_20
granville_CORI,1040,nc_state_senate_district_20
granville_CRDL,1063,nc_state_senate_district_20
granville_CRDM,1870,nc_state_senate_district_20
granville_EAOX,1263,nc_state_senate_district_20
granville_MTEN,1485,nc_state_senate_district_20
granville_OKHL,628,nc_state_senate_district_20
granville_SALM,820,nc_state_senate_district_20
granville_SASS,834,nc_state_senate_district_20
granville_SOOX,1026,nc_state_senate_district_20
granville_TYHO,1379,nc_state_senate_district_20
granville_WILT,1546,nc_state_senate_district_20
granville_WOEL,882,nc_state_senate_district_20
