prec_id,Bobby R. Stanley,Philip E. (Phil) Berger,election
guilford_CG1,901,872,nc_state_senate_district_26
guilford_CG2,626,838,nc_state_senate_district_26
guilford_CG3A,566,754,nc_state_senate_district_26
guilford_CG3B,613,972,nc_state_senate_district_26
guilford_FR3,494,688,nc_state_senate_district_26
guilford_G18,318,658,nc_state_senate_district_26
guilford_G19,438,664,nc_state_senate_district_26
guilford_G20,758,1044,nc_state_senate_district_26
guilford_G21,1211,1195,nc_state_senate_district_26
guilford_G22,479,867,nc_state_senate_district_26
guilford_G23,563,438,nc_state_senate_district_26
guilford_G24,545,307,nc_state_senate_district_26
guilford_G25,743,613,nc_state_senate_district_26
guilford_G26,511,530,nc_state_senate_district_26
guilford_G27,1017,1229,nc_state_senate_district_26
guilford_G28,541,391,nc_state_senate_district_26
guilford_G29,700,491,nc_state_senate_district_26
guilford_G30,513,768,nc_state_senate_district_26
guilford_G31,491,584,nc_state_senate_district_26
guilford_G32,824,1151,nc_state_senate_district_26
guilford_G40A1,532,648,nc_state_senate_district_26
guilford_G40A2,430,478,nc_state_senate_district_26
guilford_G40B,469,636,nc_state_senate_district_26
guilford_MON2A,165,184,nc_state_senate_district_26
guilford_MON3,895,1827,nc_state_senate_district_26
guilford_NCGR1,641,1618,nc_state_senate_district_26
guilford_NCGR2,387,1035,nc_state_senate_district_26
guilford_NDRI,279,1242,nc_state_senate_district_26
guilford_NMAD,30,76,nc_state_senate_district_26
guilford_OR1,585,1828,nc_state_senate_district_26
guilford_OR2,500,1298,nc_state_senate_district_26
guilford_SF1,573,1648,nc_state_senate_district_26
guilford_SF2,285,916,nc_state_senate_district_26
guilford_SF3,765,1237,nc_state_senate_district_26
guilford_SF4,829,1691,nc_state_senate_district_26
guilford_STOK,623,1982,nc_state_senate_district_26
guilford_CURBSIDE,30,21,nc_state_senate_district_26
rockingham_DR,598,854,nc_state_senate_district_26
rockingham_EC,1046,1677,nc_state_senate_district_26
rockingham_ED-1,999,1629,nc_state_senate_district_26
rockingham_HO,396,847,nc_state_senate_district_26
rockingham_HU,673,1837,nc_state_senate_district_26
rockingham_IR,434,1258,nc_state_senate_district_26
rockingham_LI,835,1697,nc_state_senate_district_26
rockingham_LK-2,950,1475,nc_state_senate_district_26
rockingham_MA,1060,1534,nc_state_senate_district_26
rockingham_MC,1412,1688,nc_state_senate_district_26
rockingham_MS,3186,2318,nc_state_senate_district_26
rockingham_NB,546,1719,nc_state_senate_district_26
rockingham_RC,1110,2248,nc_state_senate_district_26
rockingham_SE,1265,1446,nc_state_senate_district_26
rockingham_WS,1699,2610,nc_state_senate_district_26
