prec_id,Gladys A. Robinson,election
guilford_CG3B,241,nc_state_senate_district_28
guilford_FEN1,1770,nc_state_senate_district_28
guilford_FR1,706,nc_state_senate_district_28
guilford_FR2,24,nc_state_senate_district_28
guilford_G01,867,nc_state_senate_district_28
guilford_G02,569,nc_state_senate_district_28
guilford_G03,1467,nc_state_senate_district_28
guilford_G04,1354,nc_state_senate_district_28
guilford_G05,1192,nc_state_senate_district_28
guilford_G06,1191,nc_state_senate_district_28
guilford_G07,1126,nc_state_senate_district_28
guilford_G08,1397,nc_state_senate_district_28
guilford_G09,1699,nc_state_senate_district_28
guilford_G10,1760,nc_state_senate_district_28
guilford_G11,832,nc_state_senate_district_28
guilford_G12,653,nc_state_senate_district_28
guilford_G14,671,nc_state_senate_district_28
guilford_G26,961,nc_state_senate_district_28
guilford_G37,1400,nc_state_senate_district_28
guilford_G43,1082,nc_state_senate_district_28
guilford_G44,1250,nc_state_senate_district_28
guilford_G45,1951,nc_state_senate_district_28
guilford_G46,1865,nc_state_senate_district_28
guilford_G47,1182,nc_state_senate_district_28
guilford_G48,1737,nc_state_senate_district_28
guilford_G49,669,nc_state_senate_district_28
guilford_G50,1771,nc_state_senate_district_28
guilford_G51,970,nc_state_senate_district_28
guilford_G52,1445,nc_state_senate_district_28
guilford_G53,1985,nc_state_senate_district_28
guilford_G54,1707,nc_state_senate_district_28
guilford_G55,1519,nc_state_senate_district_28
guilford_G56,1013,nc_state_senate_district_28
guilford_G57,1194,nc_state_senate_district_28
guilford_G58,1149,nc_state_senate_district_28
guilford_G59,887,nc_state_senate_district_28
guilford_G60,1019,nc_state_senate_district_28
guilford_G61,1187,nc_state_senate_district_28
guilford_G62,698,nc_state_senate_district_28
guilford_G63,842,nc_state_senate_district_28
guilford_G64,1476,nc_state_senate_district_28
guilford_G67,1255,nc_state_senate_district_28
guilford_G68,1869,nc_state_senate_district_28
guilford_G69,1717,nc_state_senate_district_28
guilford_G70,1916,nc_state_senate_district_28
guilford_G71,1715,nc_state_senate_district_28
guilford_G72,1698,nc_state_senate_district_28
guilford_G73,1228,nc_state_senate_district_28
guilford_G74,1735,nc_state_senate_district_28
guilford_G75,1227,nc_state_senate_district_28
guilford_H03,381,nc_state_senate_district_28
guilford_H05,1298,nc_state_senate_district_28
guilford_H07,971,nc_state_senate_district_28
guilford_H08,724,nc_state_senate_district_28
guilford_H09,1251,nc_state_senate_district_28
guilford_H10,1404,nc_state_senate_district_28
guilford_H11,1159,nc_state_senate_district_28
guilford_H18,1107,nc_state_senate_district_28
guilford_H19A,878,nc_state_senate_district_28
guilford_H19B,353,nc_state_senate_district_28
guilford_H28,1328,nc_state_senate_district_28
guilford_H29A,951,nc_state_senate_district_28
guilford_H29B,1028,nc_state_senate_district_28
guilford_JEF2,30,nc_state_senate_district_28
guilford_JEF3,2370,nc_state_senate_district_28
guilford_MON2A,859,nc_state_senate_district_28
guilford_PG1,150,nc_state_senate_district_28
guilford_SUM1,622,nc_state_senate_district_28
guilford_SUM2,629,nc_state_senate_district_28
guilford_CURBSIDE,205,nc_state_senate_district_28
