prec_id,Jerry W. Tillman,election
moore_BEN,392,nc_state_senate_district_29
moore_CAM,429,nc_state_senate_district_29
moore_CAR,572,nc_state_senate_district_29
moore_DHR,452,nc_state_senate_district_29
moore_EAB,474,nc_state_senate_district_29
moore_EKWD,195,nc_state_senate_district_29
moore_EUR,728,nc_state_senate_district_29
moore_EWD,314,nc_state_senate_district_29
moore_LTR,587,nc_state_senate_district_29
moore_NSP,458,nc_state_senate_district_29
moore_PBF,526,nc_state_senate_district_29
moore_PDN,754,nc_state_senate_district_29
moore_PHA1,757,nc_state_senate_district_29
moore_PHA2,388,nc_state_senate_district_29
moore_PHB1,580,nc_state_senate_district_29
moore_PHB2,522,nc_state_senate_district_29
moore_PHC,1043,nc_state_senate_district_29
moore_RBN,320,nc_state_senate_district_29
moore_SLS,474,nc_state_senate_district_29
moore_SSP,310,nc_state_senate_district_29
moore_TLT,63,nc_state_senate_district_29
moore_VSS,433,nc_state_senate_district_29
moore_WAB,658,nc_state_senate_district_29
moore_WEM,713,nc_state_senate_district_29
moore_WKWD,326,nc_state_senate_district_29
moore_WND,251,nc_state_senate_district_29
randolph_01,482,nc_state_senate_district_29
randolph_02,413,nc_state_senate_district_29
randolph_03,726,nc_state_senate_district_29
randolph_04,433,nc_state_senate_district_29
randolph_05,215,nc_state_senate_district_29
randolph_06,364,nc_state_senate_district_29
randolph_07,376,nc_state_senate_district_29
randolph_08,226,nc_state_senate_district_29
randolph_09,324,nc_state_senate_district_29
randolph_10,468,nc_state_senate_district_29
randolph_11,313,nc_state_senate_district_29
randolph_12,425,nc_state_senate_district_29
randolph_13,824,nc_state_senate_district_29
randolph_15,580,nc_state_senate_district_29
randolph_16,703,nc_state_senate_district_29
randolph_18,606,nc_state_senate_district_29
randolph_22,770,nc_state_senate_district_29
randolph_24,332,nc_state_senate_district_29
randolph_25,612,nc_state_senate_district_29
randolph_26,635,nc_state_senate_district_29
randolph_28,520,nc_state_senate_district_29
randolph_32,1092,nc_state_senate_district_29
randolph_33,391,nc_state_senate_district_29
randolph_34,659,nc_state_senate_district_29
randolph_36,715,nc_state_senate_district_29
randolph_37,523,nc_state_senate_district_29
randolph_38,994,nc_state_senate_district_29
randolph_39,807,nc_state_senate_district_29
randolph_40,496,nc_state_senate_district_29
