prec_id,Greg Muse,Norman Sanderson,election
carteret_ABCH,121,363,nc_state_senate_district_2
carteret_ATCS,141,202,nc_state_senate_district_2
carteret_BCRK,137,461,nc_state_senate_district_2
carteret_BFT1,179,106,nc_state_senate_district_2
carteret_BFT2,264,312,nc_state_senate_district_2
carteret_BOGU,112,424,nc_state_senate_district_2
carteret_CCCP,103,343,nc_state_senate_district_2
carteret_DASW,89,128,nc_state_senate_district_2
carteret_EMIS,205,517,nc_state_senate_district_2
carteret_HAIS,103,316,nc_state_senate_district_2
carteret_IBSP,60,82,nc_state_senate_district_2
carteret_MASM,71,183,nc_state_senate_district_2
carteret_MCRK,42,200,nc_state_senate_district_2
carteret_MERR,71,114,nc_state_senate_district_2
carteret_MHD1,259,409,nc_state_senate_district_2
carteret_MHD2,300,449,nc_state_senate_district_2
carteret_MHD3,276,667,nc_state_senate_district_2
carteret_MHD4,141,507,nc_state_senate_district_2
carteret_NPT1,254,537,nc_state_senate_district_2
carteret_NPT2,169,604,nc_state_senate_district_2
carteret_NRIV,133,42,nc_state_senate_district_2
carteret_OTBE,118,467,nc_state_senate_district_2
carteret_PELE,55,193,nc_state_senate_district_2
carteret_PKNL,133,369,nc_state_senate_district_2
carteret_STEL,76,307,nc_state_senate_district_2
carteret_WIHA,103,323,nc_state_senate_district_2
carteret_WILD,210,428,nc_state_senate_district_2
craven_03,242,717,nc_state_senate_district_2
craven_04,151,207,nc_state_senate_district_2
craven_05,253,541,nc_state_senate_district_2
craven_06,132,137,nc_state_senate_district_2
craven_07,234,281,nc_state_senate_district_2
craven_08,81,98,nc_state_senate_district_2
craven_09,106,106,nc_state_senate_district_2
craven_10,103,133,nc_state_senate_district_2
craven_11,208,616,nc_state_senate_district_2
craven_12,31,189,nc_state_senate_district_2
craven_13,53,170,nc_state_senate_district_2
craven_14,154,236,nc_state_senate_district_2
craven_15,88,109,nc_state_senate_district_2
craven_16,274,624,nc_state_senate_district_2
craven_17,107,384,nc_state_senate_district_2
craven_18,284,452,nc_state_senate_district_2
craven_19,297,213,nc_state_senate_district_2
craven_20,247,609,nc_state_senate_district_2
craven_21,198,552,nc_state_senate_district_2
craven_22,197,446,nc_state_senate_district_2
craven_23,225,536,nc_state_senate_district_2
craven_N1,223,154,nc_state_senate_district_2
craven_N2,348,151,nc_state_senate_district_2
craven_N3,223,272,nc_state_senate_district_2
craven_N4,471,378,nc_state_senate_district_2
craven_N5,264,172,nc_state_senate_district_2
craven_N6,322,511,nc_state_senate_district_2
pamlico_1AL A,115,211,nc_state_senate_district_2
pamlico_5AP,564,850,nc_state_senate_district_2
pamlico_3BY,562,383,nc_state_senate_district_2
pamlico_1GB,156,415,nc_state_senate_district_2
pamlico_4HB,12,126,nc_state_senate_district_2
pamlico_4MSIC,98,43,nc_state_senate_district_2
pamlico_2OT,593,739,nc_state_senate_district_2
pamlico_1RB,219,614,nc_state_senate_district_2
pamlico_2SW,127,168,nc_state_senate_district_2
pamlico_4VM A,80,57,nc_state_senate_district_2
pamlico_CURBSIDE,109,59,nc_state_senate_district_2
