prec_id,Ric Marshall,Shirley Randleman (replacement for Don W. East),election
stokes_01,103,208,nc_state_senate_district_30
stokes_02,297,458,nc_state_senate_district_30
stokes_03,118,459,nc_state_senate_district_30
stokes_04,167,425,nc_state_senate_district_30
stokes_05,132,219,nc_state_senate_district_30
stokes_06,100,228,nc_state_senate_district_30
stokes_07,93,177,nc_state_senate_district_30
stokes_08,157,342,nc_state_senate_district_30
stokes_09,298,489,nc_state_senate_district_30
stokes_10,280,572,nc_state_senate_district_30
stokes_11,265,580,nc_state_senate_district_30
stokes_12,214,523,nc_state_senate_district_30
stokes_13,170,472,nc_state_senate_district_30
stokes_14,239,556,nc_state_senate_district_30
stokes_15,183,378,nc_state_senate_district_30
stokes_16,244,253,nc_state_senate_district_30
stokes_17,191,308,nc_state_senate_district_30
stokes_18,130,68,nc_state_senate_district_30
stokes_19,156,264,nc_state_senate_district_30
stokes_20,193,390,nc_state_senate_district_30
surry_01,383,737,nc_state_senate_district_30
surry_02,233,155,nc_state_senate_district_30
surry_03,589,812,nc_state_senate_district_30
surry_04,536,711,nc_state_senate_district_30
surry_05,423,1033,nc_state_senate_district_30
surry_06,436,424,nc_state_senate_district_30
surry_07,360,393,nc_state_senate_district_30
surry_08,378,716,nc_state_senate_district_30
surry_09,238,520,nc_state_senate_district_30
surry_10,186,509,nc_state_senate_district_30
surry_11,322,467,nc_state_senate_district_30
surry_12,622,642,nc_state_senate_district_30
surry_13,374,447,nc_state_senate_district_30
surry_14,462,654,nc_state_senate_district_30
surry_15,471,566,nc_state_senate_district_30
surry_16,315,523,nc_state_senate_district_30
surry_17,249,416,nc_state_senate_district_30
surry_18,463,822,nc_state_senate_district_30
surry_19,571,796,nc_state_senate_district_30
surry_20,296,352,nc_state_senate_district_30
surry_21,449,866,nc_state_senate_district_30
surry_22,301,446,nc_state_senate_district_30
surry_23,324,610,nc_state_senate_district_30
surry_24,158,341,nc_state_senate_district_30
surry_25,439,609,nc_state_senate_district_30
surry_26,532,961,nc_state_senate_district_30
surry_27,323,600,nc_state_senate_district_30
surry_28,256,509,nc_state_senate_district_30
surry_33,392,535,nc_state_senate_district_30
surry_CURBSIDE,0,0,nc_state_senate_district_30
wilkes_101,104,148,nc_state_senate_district_30
wilkes_102,181,324,nc_state_senate_district_30
wilkes_103,59,162,nc_state_senate_district_30
wilkes_104,159,317,nc_state_senate_district_30
wilkes_105,126,314,nc_state_senate_district_30
wilkes_106,135,264,nc_state_senate_district_30
wilkes_107,281,803,nc_state_senate_district_30
wilkes_108,169,243,nc_state_senate_district_30
wilkes_109,128,209,nc_state_senate_district_30
wilkes_110,41,92,nc_state_senate_district_30
wilkes_111,165,334,nc_state_senate_district_30
wilkes_112,185,495,nc_state_senate_district_30
wilkes_113,198,328,nc_state_senate_district_30
wilkes_114,58,205,nc_state_senate_district_30
wilkes_115A,245,723,nc_state_senate_district_30
wilkes_117,138,275,nc_state_senate_district_30
wilkes_118,239,261,nc_state_senate_district_30
wilkes_119,285,628,nc_state_senate_district_30
wilkes_120,164,424,nc_state_senate_district_30
wilkes_121,169,391,nc_state_senate_district_30
wilkes_122,45,313,nc_state_senate_district_30
wilkes_123,107,276,nc_state_senate_district_30
wilkes_124,146,409,nc_state_senate_district_30
wilkes_125,99,183,nc_state_senate_district_30
wilkes_126,71,221,nc_state_senate_district_30
wilkes_127,214,300,nc_state_senate_district_30
wilkes_128,270,609,nc_state_senate_district_30
wilkes_129,180,383,nc_state_senate_district_30
