prec_id,Joel Ford,Richard Rivette,election
mecklenburg_12,1583,84,nc_state_senate_district_38
mecklenburg_16,2140,27,nc_state_senate_district_38
mecklenburg_22,2056,703,nc_state_senate_district_38
mecklenburg_23,984,82,nc_state_senate_district_38
mecklenburg_24,1569,226,nc_state_senate_district_38
mecklenburg_25,1634,15,nc_state_senate_district_38
mecklenburg_31,1633,33,nc_state_senate_district_38
mecklenburg_39,1398,50,nc_state_senate_district_38
mecklenburg_40,1582,152,nc_state_senate_district_38
mecklenburg_41,1443,116,nc_state_senate_district_38
mecklenburg_52,1707,53,nc_state_senate_district_38
mecklenburg_53,2016,173,nc_state_senate_district_38
mecklenburg_078.1,869,253,nc_state_senate_district_38
mecklenburg_79,773,373,nc_state_senate_district_38
mecklenburg_80,1479,435,nc_state_senate_district_38
mecklenburg_81,2268,403,nc_state_senate_district_38
mecklenburg_89,2559,1187,nc_state_senate_district_38
mecklenburg_128,1169,748,nc_state_senate_district_38
mecklenburg_135,3578,579,nc_state_senate_district_38
mecklenburg_141,1830,589,nc_state_senate_district_38
mecklenburg_147,1918,366,nc_state_senate_district_38
mecklenburg_150,1401,723,nc_state_senate_district_38
mecklenburg_151,1752,564,nc_state_senate_district_38
mecklenburg_200,451,426,nc_state_senate_district_38
mecklenburg_210,3731,341,nc_state_senate_district_38
mecklenburg_211,2986,876,nc_state_senate_district_38
mecklenburg_212,3701,965,nc_state_senate_district_38
mecklenburg_213,2537,259,nc_state_senate_district_38
mecklenburg_214,1555,632,nc_state_senate_district_38
mecklenburg_222,3076,920,nc_state_senate_district_38
mecklenburg_223.1,1580,335,nc_state_senate_district_38
mecklenburg_224,938,636,nc_state_senate_district_38
mecklenburg_238.1,1032,660,nc_state_senate_district_38
mecklenburg_239,1377,577,nc_state_senate_district_38
mecklenburg_CURBSIDE,1648,77,nc_state_senate_district_38
