prec_id,Jeff Tarte,election
mecklenburg_96,325,nc_state_senate_district_41
mecklenburg_113,925,nc_state_senate_district_41
mecklenburg_127,2123,nc_state_senate_district_41
mecklenburg_133,2298,nc_state_senate_district_41
mecklenburg_134,2648,nc_state_senate_district_41
mecklenburg_136,1041,nc_state_senate_district_41
mecklenburg_142,2346,nc_state_senate_district_41
mecklenburg_143,2757,nc_state_senate_district_41
mecklenburg_145,3432,nc_state_senate_district_41
mecklenburg_150,20,nc_state_senate_district_41
mecklenburg_151,44,nc_state_senate_district_41
mecklenburg_201,1097,nc_state_senate_district_41
mecklenburg_202,3122,nc_state_senate_district_41
mecklenburg_203,559,nc_state_senate_district_41
mecklenburg_204.1,251,nc_state_senate_district_41
mecklenburg_205,693,nc_state_senate_district_41
mecklenburg_206,1901,nc_state_senate_district_41
mecklenburg_207,2316,nc_state_senate_district_41
mecklenburg_208,2476,nc_state_senate_district_41
mecklenburg_209,2087,nc_state_senate_district_41
mecklenburg_211,575,nc_state_senate_district_41
mecklenburg_212,566,nc_state_senate_district_41
mecklenburg_215,1571,nc_state_senate_district_41
mecklenburg_216,1779,nc_state_senate_district_41
mecklenburg_217,563,nc_state_senate_district_41
mecklenburg_218,1338,nc_state_senate_district_41
mecklenburg_219,1026,nc_state_senate_district_41
mecklenburg_220,1359,nc_state_senate_district_41
mecklenburg_221,2056,nc_state_senate_district_41
mecklenburg_223.1,1572,nc_state_senate_district_41
mecklenburg_227,2407,nc_state_senate_district_41
mecklenburg_233,137,nc_state_senate_district_41
mecklenburg_234,869,nc_state_senate_district_41
mecklenburg_235,676,nc_state_senate_district_41
mecklenburg_236,1838,nc_state_senate_district_41
mecklenburg_237,1022,nc_state_senate_district_41
mecklenburg_238.1,151,nc_state_senate_district_41
mecklenburg_240,2598,nc_state_senate_district_41
mecklenburg_241,2047,nc_state_senate_district_41
mecklenburg_242,1736,nc_state_senate_district_41
mecklenburg_CURBSIDE,119,nc_state_senate_district_41
