prec_id,Kathy Harrington,election
gaston_01,192,nc_state_senate_district_43
gaston_02,258,nc_state_senate_district_43
gaston_03,186,nc_state_senate_district_43
gaston_04,711,nc_state_senate_district_43
gaston_05,201,nc_state_senate_district_43
gaston_06,95,nc_state_senate_district_43
gaston_07,25,nc_state_senate_district_43
gaston_08,176,nc_state_senate_district_43
gaston_09,218,nc_state_senate_district_43
gaston_10,344,nc_state_senate_district_43
gaston_11,164,nc_state_senate_district_43
gaston_12,421,nc_state_senate_district_43
gaston_13,540,nc_state_senate_district_43
gaston_14,223,nc_state_senate_district_43
gaston_15,688,nc_state_senate_district_43
gaston_16,531,nc_state_senate_district_43
gaston_17,455,nc_state_senate_district_43
gaston_18,714,nc_state_senate_district_43
gaston_19,703,nc_state_senate_district_43
gaston_20,577,nc_state_senate_district_43
gaston_21,345,nc_state_senate_district_43
gaston_22,680,nc_state_senate_district_43
gaston_23,563,nc_state_senate_district_43
gaston_24,467,nc_state_senate_district_43
gaston_25,423,nc_state_senate_district_43
gaston_26,463,nc_state_senate_district_43
gaston_27,814,nc_state_senate_district_43
gaston_28,573,nc_state_senate_district_43
gaston_29,746,nc_state_senate_district_43
gaston_30,459,nc_state_senate_district_43
gaston_31,589,nc_state_senate_district_43
gaston_32,564,nc_state_senate_district_43
gaston_33,299,nc_state_senate_district_43
gaston_34,476,nc_state_senate_district_43
gaston_35,457,nc_state_senate_district_43
gaston_36,848,nc_state_senate_district_43
gaston_37,497,nc_state_senate_district_43
gaston_38,417,nc_state_senate_district_43
gaston_39,714,nc_state_senate_district_43
gaston_40,459,nc_state_senate_district_43
gaston_41,374,nc_state_senate_district_43
gaston_44,713,nc_state_senate_district_43
gaston_45,385,nc_state_senate_district_43
gaston_46,616,nc_state_senate_district_43
gaston_ACCUMULATED,0,nc_state_senate_district_43
