prec_id,Tom Apodaca,election
buncombe_18.2,578,nc_state_senate_district_48
buncombe_19.1,117,nc_state_senate_district_48
buncombe_29.2,334,nc_state_senate_district_48
buncombe_30.2,272,nc_state_senate_district_48
buncombe_30.3,338,nc_state_senate_district_48
buncombe_38.2,284,nc_state_senate_district_48
buncombe_38.3,550,nc_state_senate_district_48
buncombe_46.1,184,nc_state_senate_district_48
buncombe_47.1,707,nc_state_senate_district_48
buncombe_54.2,397,nc_state_senate_district_48
buncombe_55.1,458,nc_state_senate_district_48
buncombe_56.2,307,nc_state_senate_district_48
buncombe_57.1,542,nc_state_senate_district_48
henderson_AR,638,nc_state_senate_district_48
henderson_AT,1489,nc_state_senate_district_48
henderson_BC,354,nc_state_senate_district_48
henderson_BK,372,nc_state_senate_district_48
henderson_CB,558,nc_state_senate_district_48
henderson_CC,1315,nc_state_senate_district_48
henderson_CV,299,nc_state_senate_district_48
henderson_ED,1022,nc_state_senate_district_48
henderson_EF,1012,nc_state_senate_district_48
henderson_ES,863,nc_state_senate_district_48
henderson_EV,1215,nc_state_senate_district_48
henderson_FL,1673,nc_state_senate_district_48
henderson_FR,1535,nc_state_senate_district_48
henderson_GM,601,nc_state_senate_district_48
henderson_GR,1219,nc_state_senate_district_48
henderson_HC,1433,nc_state_senate_district_48
henderson_HS,1107,nc_state_senate_district_48
henderson_HV-1,944,nc_state_senate_district_48
henderson_HV-2,744,nc_state_senate_district_48
henderson_HV-3,864,nc_state_senate_district_48
henderson_LJ,975,nc_state_senate_district_48
henderson_LP,828,nc_state_senate_district_48
henderson_MG,446,nc_state_senate_district_48
henderson_NB,1540,nc_state_senate_district_48
henderson_NE,728,nc_state_senate_district_48
henderson_NM,1314,nc_state_senate_district_48
henderson_NW,803,nc_state_senate_district_48
henderson_PR,1043,nc_state_senate_district_48
henderson_PV,941,nc_state_senate_district_48
henderson_RG,1064,nc_state_senate_district_48
henderson_RR,409,nc_state_senate_district_48
henderson_SB,1299,nc_state_senate_district_48
henderson_SE,514,nc_state_senate_district_48
henderson_SM,1695,nc_state_senate_district_48
henderson_SW,1124,nc_state_senate_district_48
henderson_CURBSIDE,782,nc_state_senate_district_48
transylvania_B1,709,nc_state_senate_district_48
transylvania_B2,531,nc_state_senate_district_48
transylvania_B3,810,nc_state_senate_district_48
transylvania_B4,602,nc_state_senate_district_48
transylvania_BD,1141,nc_state_senate_district_48
transylvania_CC,1094,nc_state_senate_district_48
transylvania_CM,344,nc_state_senate_district_48
transylvania_DR,1075,nc_state_senate_district_48
transylvania_EF,432,nc_state_senate_district_48
transylvania_LR,794,nc_state_senate_district_48
transylvania_PF,664,nc_state_senate_district_48
transylvania_RE,862,nc_state_senate_district_48
transylvania_TC1,443,nc_state_senate_district_48
transylvania_TC7,791,nc_state_senate_district_48
transylvania_WC,813,nc_state_senate_district_48
