prec_id,John Snow,Jim Davis,election
cherokee_ANNW,384,531,nc_state_senate_district_50
cherokee_ANSW,456,587,nc_state_senate_district_50
cherokee_BELL,257,411,nc_state_senate_district_50
cherokee_BRAS,223,305,nc_state_senate_district_50
cherokee_CSON,181,310,nc_state_senate_district_50
cherokee_GCRK,108,160,nc_state_senate_district_50
cherokee_HANG,144,355,nc_state_senate_district_50
cherokee_HIWA,407,745,nc_state_senate_district_50
cherokee_HOTH,274,496,nc_state_senate_district_50
cherokee_MARB,352,514,nc_state_senate_district_50
cherokee_MURN,618,642,nc_state_senate_district_50
cherokee_MURS,635,717,nc_state_senate_district_50
cherokee_PCHT,633,713,nc_state_senate_district_50
cherokee_RGER,365,552,nc_state_senate_district_50
cherokee_TOPT,106,190,nc_state_senate_district_50
cherokee_UNKA,125,200,nc_state_senate_district_50
clay_BRAS,239,327,nc_state_senate_district_50
clay_HAY1,316,456,nc_state_senate_district_50
clay_HAY2,394,517,nc_state_senate_district_50
clay_HAYC,109,154,nc_state_senate_district_50
clay_HIAW,290,588,nc_state_senate_district_50
clay_SHCR,223,548,nc_state_senate_district_50
clay_SWEE,181,282,nc_state_senate_district_50
clay_TUSQ,163,277,nc_state_senate_district_50
clay_WARN,202,272,nc_state_senate_district_50
graham_EAST,692,853,nc_state_senate_district_50
graham_STEC,208,534,nc_state_senate_district_50
graham_TAPO,72,259,nc_state_senate_district_50
graham_WEST,536,791,nc_state_senate_district_50
haywood_AC,541,705,nc_state_senate_district_50
haywood_BC,6,15,nc_state_senate_district_50
haywood_BE-1,291,510,nc_state_senate_district_50
haywood_BE-2,295,370,nc_state_senate_district_50
haywood_BE-3,434,748,nc_state_senate_district_50
haywood_BE-4,340,643,nc_state_senate_district_50
haywood_BE56,512,574,nc_state_senate_district_50
haywood_BE-7,237,515,nc_state_senate_district_50
haywood_CE,61,203,nc_state_senate_district_50
haywood_CL-N,525,794,nc_state_senate_district_50
haywood_CL-S,593,852,nc_state_senate_district_50
haywood_CR,441,543,nc_state_senate_district_50
haywood_EF,230,507,nc_state_senate_district_50
haywood_FC-1,194,261,nc_state_senate_district_50
haywood_FC-2,47,76,nc_state_senate_district_50
haywood_HA,285,259,nc_state_senate_district_50
haywood_ID,265,323,nc_state_senate_district_50
haywood_IH,867,1282,nc_state_senate_district_50
haywood_JC,773,1082,nc_state_senate_district_50
haywood_LJ,629,593,nc_state_senate_district_50
haywood_P,527,1164,nc_state_senate_district_50
haywood_PC,243,509,nc_state_senate_district_50
haywood_SA,559,770,nc_state_senate_district_50
haywood_WC,223,174,nc_state_senate_district_50
haywood_WE,498,511,nc_state_senate_district_50
haywood_WO,88,92,nc_state_senate_district_50
haywood_WS-1,658,743,nc_state_senate_district_50
haywood_WS-2,595,597,nc_state_senate_district_50
haywood_WW,435,574,nc_state_senate_district_50
jackson_BCK,295,454,nc_state_senate_district_50
jackson_CAN,106,165,nc_state_senate_district_50
jackson_CAS,347,806,nc_state_senate_district_50
jackson_CFK,164,186,nc_state_senate_district_50
jackson_CUL,1846,1323,nc_state_senate_district_50
jackson_DIL,344,366,nc_state_senate_district_50
jackson_GCK,319,305,nc_state_senate_district_50
jackson_GLV,297,665,nc_state_senate_district_50
jackson_QUA,854,827,nc_state_senate_district_50
jackson_RIV,190,258,nc_state_senate_district_50
jackson_SAV,285,418,nc_state_senate_district_50
jackson_SCC,471,488,nc_state_senate_district_50
jackson_SNW,559,448,nc_state_senate_district_50
jackson_SSW,962,710,nc_state_senate_district_50
jackson_WEB,687,533,nc_state_senate_district_50
jackson_CURBSIDE,88,54,nc_state_senate_district_50
jackson_ACCUMULATED,0,0,nc_state_senate_district_50
macon_01,155,179,nc_state_senate_district_50
macon_02,111,175,nc_state_senate_district_50
macon_03,215,259,nc_state_senate_district_50
macon_04,125,211,nc_state_senate_district_50
macon_05,238,304,nc_state_senate_district_50
macon_06,162,215,nc_state_senate_district_50
macon_07,165,259,nc_state_senate_district_50
macon_08,46,124,nc_state_senate_district_50
macon_09,363,662,nc_state_senate_district_50
macon_10,66,138,nc_state_senate_district_50
macon_11,260,481,nc_state_senate_district_50
macon_12,245,291,nc_state_senate_district_50
macon_13,103,211,nc_state_senate_district_50
macon_14,98,175,nc_state_senate_district_50
macon_15,202,292,nc_state_senate_district_50
swain_ALARKA,240,288,nc_state_senate_district_50
swain_ALMOND,330,491,nc_state_senate_district_50
swain_BC1,633,767,nc_state_senate_district_50
swain_BC2,620,720,nc_state_senate_district_50
swain_WHCH,819,713,nc_state_senate_district_50
swain_ACCUMULATED,0,0,nc_state_senate_district_50
