prec_id,Danny Hefner,Bill Rabon,election
bladen_P10,139,116,nc_state_senate_district_8
bladen_P15,209,295,nc_state_senate_district_8
bladen_P201,119,162,nc_state_senate_district_8
bladen_P202,196,257,nc_state_senate_district_8
bladen_P25,205,180,nc_state_senate_district_8
bladen_P30,137,45,nc_state_senate_district_8
bladen_P35,83,71,nc_state_senate_district_8
bladen_P40,112,247,nc_state_senate_district_8
bladen_P45,89,136,nc_state_senate_district_8
bladen_P501,295,151,nc_state_senate_district_8
bladen_P502,158,106,nc_state_senate_district_8
bladen_P55,155,132,nc_state_senate_district_8
bladen_P60,243,181,nc_state_senate_district_8
bladen_P65,68,119,nc_state_senate_district_8
bladen_P70,76,72,nc_state_senate_district_8
bladen_P75,219,91,nc_state_senate_district_8
bladen_P80,139,172,nc_state_senate_district_8
bladen_CURBSIDE,0,0,nc_state_senate_district_8
brunswick_01,486,555,nc_state_senate_district_8
brunswick_02,1228,1303,nc_state_senate_district_8
brunswick_03,533,385,nc_state_senate_district_8
brunswick_04A,1576,2392,nc_state_senate_district_8
brunswick_04B,764,1286,nc_state_senate_district_8
brunswick_04C,569,866,nc_state_senate_district_8
brunswick_05,715,1387,nc_state_senate_district_8
brunswick_06,342,655,nc_state_senate_district_8
brunswick_07,465,1201,nc_state_senate_district_8
brunswick_08,718,1802,nc_state_senate_district_8
brunswick_09,204,573,nc_state_senate_district_8
brunswick_10A,526,1329,nc_state_senate_district_8
brunswick_10B,626,2057,nc_state_senate_district_8
brunswick_11,790,736,nc_state_senate_district_8
brunswick_12,527,1174,nc_state_senate_district_8
brunswick_13,652,1104,nc_state_senate_district_8
brunswick_14,738,1944,nc_state_senate_district_8
brunswick_15,947,2097,nc_state_senate_district_8
brunswick_16,914,1984,nc_state_senate_district_8
brunswick_17,1378,1863,nc_state_senate_district_8
brunswick_18,344,725,nc_state_senate_district_8
brunswick_19,865,1610,nc_state_senate_district_8
brunswick_20,550,1456,nc_state_senate_district_8
brunswick_21,599,2057,nc_state_senate_district_8
brunswick_22,394,1108,nc_state_senate_district_8
brunswick_23,378,1145,nc_state_senate_district_8
brunswick_CURBSIDE,210,238,nc_state_senate_district_8
new hanover_W03,913,78,nc_state_senate_district_8
new hanover_W29,1713,55,nc_state_senate_district_8
pender_NB01,537,619,nc_state_senate_district_8
pender_SB02,923,1004,nc_state_senate_district_8
pender_CT03,105,63,nc_state_senate_district_8
pender_CS04,293,304,nc_state_senate_district_8
pender_CL05,674,303,nc_state_senate_district_8
pender_GR06,496,399,nc_state_senate_district_8
pender_MH07,64,172,nc_state_senate_district_8
pender_UH08,451,123,nc_state_senate_district_8
pender_LC09,345,590,nc_state_senate_district_8
pender_PL10,77,195,nc_state_senate_district_8
pender_CF11,499,1077,nc_state_senate_district_8
pender_SH12,242,880,nc_state_senate_district_8
pender_SC13,584,1197,nc_state_senate_district_8
pender_UT14,564,1603,nc_state_senate_district_8
pender_SP15,561,1142,nc_state_senate_district_8
pender_LU16,230,455,nc_state_senate_district_8
pender_UU17,362,331,nc_state_senate_district_8
pender_LT18,508,1367,nc_state_senate_district_8
pender_MT19,573,1220,nc_state_senate_district_8
pender_RP20,550,535,nc_state_senate_district_8
pender_CURBSIDE,106,49,nc_state_senate_district_8
