prec_id,Mel Watt,Jack Brosch,election
cabarrus_02-08,1586,1974,us_house_of_representatives_district_12
cabarrus_02-09,1776,1772,us_house_of_representatives_district_12
cabarrus_03-00,839,1771,us_house_of_representatives_district_12
cabarrus_ACCUMULATED,0,0,us_house_of_representatives_district_12
davidson_06,481,1059,us_house_of_representatives_district_12
davidson_10,8,20,us_house_of_representatives_district_12
davidson_22,169,365,us_house_of_representatives_district_12
davidson_28,532,942,us_house_of_representatives_district_12
davidson_30,1169,156,us_house_of_representatives_district_12
davidson_32,459,233,us_house_of_representatives_district_12
davidson_36,495,253,us_house_of_representatives_district_12
davidson_38,643,86,us_house_of_representatives_district_12
davidson_62,667,240,us_house_of_representatives_district_12
davidson_64,888,170,us_house_of_representatives_district_12
davidson_70,381,1105,us_house_of_representatives_district_12
davidson_72,344,1259,us_house_of_representatives_district_12
davidson_80A,523,2148,us_house_of_representatives_district_12
davidson_CURBSIDE,108,42,us_house_of_representatives_district_12
forsyth_042,1026,1019,us_house_of_representatives_district_12
forsyth_203,1191,18,us_house_of_representatives_district_12
forsyth_204,1017,77,us_house_of_representatives_district_12
forsyth_205,597,4,us_house_of_representatives_district_12
forsyth_206,1148,101,us_house_of_representatives_district_12
forsyth_301,738,9,us_house_of_representatives_district_12
forsyth_302,791,26,us_house_of_representatives_district_12
forsyth_303,601,5,us_house_of_representatives_district_12
forsyth_304,1647,24,us_house_of_representatives_district_12
forsyth_305,1103,15,us_house_of_representatives_district_12
forsyth_401,1221,75,us_house_of_representatives_district_12
forsyth_402,1131,11,us_house_of_representatives_district_12
forsyth_403,1196,40,us_house_of_representatives_district_12
forsyth_404,1334,143,us_house_of_representatives_district_12
forsyth_405,1921,15,us_house_of_representatives_district_12
forsyth_501,1422,95,us_house_of_representatives_district_12
forsyth_502,1049,26,us_house_of_representatives_district_12
forsyth_504,828,111,us_house_of_representatives_district_12
forsyth_505,982,212,us_house_of_representatives_district_12
guilford_FEN1,2011,721,us_house_of_representatives_district_12
guilford_G01,854,69,us_house_of_representatives_district_12
guilford_G02,530,191,us_house_of_representatives_district_12
guilford_G03,1445,61,us_house_of_representatives_district_12
guilford_G04,1350,63,us_house_of_representatives_district_12
guilford_G05,1189,15,us_house_of_representatives_district_12
guilford_G06,1195,28,us_house_of_representatives_district_12
guilford_G07,1043,286,us_house_of_representatives_district_12
guilford_G08,1311,319,us_house_of_representatives_district_12
guilford_G09,1647,278,us_house_of_representatives_district_12
guilford_G10,1683,343,us_house_of_representatives_district_12
guilford_G26,1509,557,us_house_of_representatives_district_12
guilford_G37,1304,449,us_house_of_representatives_district_12
guilford_G43,1392,560,us_house_of_representatives_district_12
guilford_G46,1852,41,us_house_of_representatives_district_12
guilford_G47,1140,247,us_house_of_representatives_district_12
guilford_G49,641,126,us_house_of_representatives_district_12
guilford_G50,1679,335,us_house_of_representatives_district_12
guilford_G51,882,373,us_house_of_representatives_district_12
guilford_G52,1434,109,us_house_of_representatives_district_12
guilford_G53,1950,133,us_house_of_representatives_district_12
guilford_G54,1679,135,us_house_of_representatives_district_12
guilford_G55,1505,206,us_house_of_representatives_district_12
guilford_G56,961,252,us_house_of_representatives_district_12
guilford_G57,1136,267,us_house_of_representatives_district_12
guilford_G58,1115,204,us_house_of_representatives_district_12
guilford_G59,830,228,us_house_of_representatives_district_12
guilford_G60,953,291,us_house_of_representatives_district_12
guilford_G61,1191,268,us_house_of_representatives_district_12
guilford_G64,620,227,us_house_of_representatives_district_12
guilford_G67,1259,6,us_house_of_representatives_district_12
guilford_G68,1869,11,us_house_of_representatives_district_12
guilford_G69,1702,104,us_house_of_representatives_district_12
guilford_G70,1926,14,us_house_of_representatives_district_12
guilford_G71,1717,20,us_house_of_representatives_district_12
guilford_G72,1693,71,us_house_of_representatives_district_12
guilford_G73,1229,12,us_house_of_representatives_district_12
guilford_G74,1740,16,us_house_of_representatives_district_12
guilford_G75,1224,59,us_house_of_representatives_district_12
guilford_H01,751,315,us_house_of_representatives_district_12
guilford_H03,828,189,us_house_of_representatives_district_12
guilford_H05,1278,172,us_house_of_representatives_district_12
guilford_H07,972,67,us_house_of_representatives_district_12
guilford_H08,723,37,us_house_of_representatives_district_12
guilford_H09,1270,35,us_house_of_representatives_district_12
guilford_H10,1404,115,us_house_of_representatives_district_12
guilford_H11,1123,163,us_house_of_representatives_district_12
guilford_H12,673,269,us_house_of_representatives_district_12
guilford_H17,589,256,us_house_of_representatives_district_12
guilford_H18,1052,264,us_house_of_representatives_district_12
guilford_H19A,842,117,us_house_of_representatives_district_12
guilford_H19B,297,319,us_house_of_representatives_district_12
guilford_H28,1126,866,us_house_of_representatives_district_12
guilford_H29A,794,568,us_house_of_representatives_district_12
guilford_H29B,894,589,us_house_of_representatives_district_12
guilford_JAM3,1,0,us_house_of_representatives_district_12
guilford_JEF3,2293,400,us_house_of_representatives_district_12
guilford_MON2A,1509,555,us_house_of_representatives_district_12
guilford_MON2B,756,445,us_house_of_representatives_district_12
guilford_SUM1,1061,531,us_house_of_representatives_district_12
guilford_CURBSIDE,203,14,us_house_of_representatives_district_12
mecklenburg_2,9,3,us_house_of_representatives_district_12
mecklenburg_3,1509,95,us_house_of_representatives_district_12
mecklenburg_4,1157,320,us_house_of_representatives_district_12
mecklenburg_5,803,168,us_house_of_representatives_district_12
mecklenburg_6,1378,176,us_house_of_representatives_district_12
mecklenburg_11,2462,1419,us_house_of_representatives_district_12
mecklenburg_12,1593,78,us_house_of_representatives_district_12
