prec_id,Charles Malone,George Holding,election
durham_32,173,308,us_house_of_representatives_district_13
edgecombe_0102,0,0,us_house_of_representatives_district_13
edgecombe_0103,239,356,us_house_of_representatives_district_13
edgecombe_0801,132,207,us_house_of_representatives_district_13
edgecombe_0901,124,274,us_house_of_representatives_district_13
edgecombe_1001,211,209,us_house_of_representatives_district_13
edgecombe_1101,98,189,us_house_of_representatives_district_13
edgecombe_1203,63,196,us_house_of_representatives_district_13
edgecombe_1301,128,286,us_house_of_representatives_district_13
edgecombe_1401,78,305,us_house_of_representatives_district_13
franklin_03,429,612,us_house_of_representatives_district_13
franklin_05,597,806,us_house_of_representatives_district_13
franklin_06,686,455,us_house_of_representatives_district_13
franklin_07,317,724,us_house_of_representatives_district_13
franklin_08,754,1048,us_house_of_representatives_district_13
franklin_09,470,600,us_house_of_representatives_district_13
franklin_12,447,417,us_house_of_representatives_district_13
franklin_13,441,781,us_house_of_representatives_district_13
franklin_14,968,1599,us_house_of_representatives_district_13
franklin_17,766,1370,us_house_of_representatives_district_13
franklin_18,623,1113,us_house_of_representatives_district_13
franklin_19,1092,1662,us_house_of_representatives_district_13
granville_CRDM,1567,1415,us_house_of_representatives_district_13
granville_MTEN,1135,1508,us_house_of_representatives_district_13
granville_WILT,1078,2050,us_house_of_representatives_district_13
nash_0001,430,698,us_house_of_representatives_district_13
nash_0004,125,642,us_house_of_representatives_district_13
nash_0005,380,557,us_house_of_representatives_district_13
nash_0006,220,447,us_house_of_representatives_district_13
nash_0008,202,371,us_house_of_representatives_district_13
nash_0012,85,217,us_house_of_representatives_district_13
nash_0015,384,493,us_house_of_representatives_district_13
nash_0025,258,469,us_house_of_representatives_district_13
nash_0026,133,648,us_house_of_representatives_district_13
nash_0034,1,0,us_house_of_representatives_district_13
nash_0035,282,561,us_house_of_representatives_district_13
nash_0036,284,374,us_house_of_representatives_district_13
nash_0037,187,320,us_house_of_representatives_district_13
nash_0039,190,467,us_house_of_representatives_district_13
nash_0041,109,262,us_house_of_representatives_district_13
vance_CC,74,219,us_house_of_representatives_district_13
vance_KITT,1288,1158,us_house_of_representatives_district_13
vance_SCRK,1582,1007,us_house_of_representatives_district_13
wake_43832,30,30,us_house_of_representatives_district_13
wake_43833,343,547,us_house_of_representatives_district_13
wake_43834,241,286,us_house_of_representatives_district_13
wake_43835,191,339,us_house_of_representatives_district_13
wake_43841,250,656,us_house_of_representatives_district_13
wake_43845,225,302,us_house_of_representatives_district_13
wake_43846,56,86,us_house_of_representatives_district_13
wake_43847,174,285,us_house_of_representatives_district_13
wake_43848,508,480,us_house_of_representatives_district_13
wake_43851,0,4,us_house_of_representatives_district_13
wake_43859,350,566,us_house_of_representatives_district_13
wake_43860,263,323,us_house_of_representatives_district_13
wake_12055,52,56,us_house_of_representatives_district_13
wake_13150,176,405,us_house_of_representatives_district_13
wake_13516,318,384,us_house_of_representatives_district_13
wake_14246,0,3,us_house_of_representatives_district_13
wake_15342,296,523,us_house_of_representatives_district_13
wake_16438,265,335,us_house_of_representatives_district_13
wake_17168,316,503,us_house_of_representatives_district_13
wake_43862,417,703,us_house_of_representatives_district_13
wake_43863,625,1254,us_house_of_representatives_district_13
wake_43864,355,832,us_house_of_representatives_district_13
wake_43865,268,576,us_house_of_representatives_district_13
wake_43866,168,296,us_house_of_representatives_district_13
wake_43867,211,601,us_house_of_representatives_district_13
wake_43927,388,440,us_house_of_representatives_district_13
wake_43928,288,556,us_house_of_representatives_district_13
wake_43931,462,498,us_house_of_representatives_district_13
wake_43933,353,464,us_house_of_representatives_district_13
wake_43986,299,320,us_house_of_representatives_district_13
wake_43987,227,570,us_house_of_representatives_district_13
wake_43988,478,726,us_house_of_representatives_district_13
wake_43989,444,625,us_house_of_representatives_district_13
wake_44013,401,328,us_house_of_representatives_district_13
wake_44014,269,273,us_house_of_representatives_district_13
wake_44015,243,310,us_house_of_representatives_district_13
wake_44017,292,307,us_house_of_representatives_district_13
wake_44018,422,649,us_house_of_representatives_district_13
wake_44019,580,649,us_house_of_representatives_district_13
wake_07-07A,168,205,us_house_of_representatives_district_13
wake_44021,505,441,us_house_of_representatives_district_13
wake_44023,196,240,us_house_of_representatives_district_13
wake_44024,431,435,us_house_of_representatives_district_13
wake_44025,272,246,us_house_of_representatives_district_13
wake_44045,532,721,us_house_of_representatives_district_13
wake_44046,714,809,us_house_of_representatives_district_13
wake_44047,273,462,us_house_of_representatives_district_13
wake_44048,322,430,us_house_of_representatives_district_13
wake_44050,359,621,us_house_of_representatives_district_13
wake_44051,583,894,us_house_of_representatives_district_13
wake_44053,429,446,us_house_of_representatives_district_13
wake_44054,683,682,us_house_of_representatives_district_13
wake_44075,391,604,us_house_of_representatives_district_13
wake_44076,806,557,us_house_of_representatives_district_13
wake_44077,323,554,us_house_of_representatives_district_13
wake_44105,128,310,us_house_of_representatives_district_13
wake_44106,527,551,us_house_of_representatives_district_13
wake_44107,438,558,us_house_of_representatives_district_13
wake_44108,747,871,us_house_of_representatives_district_13
wake_44137,608,624,us_house_of_representatives_district_13
wake_44166,415,932,us_house_of_representatives_district_13
wake_44167,517,668,us_house_of_representatives_district_13
wake_44169,390,856,us_house_of_representatives_district_13
wake_44170,571,1152,us_house_of_representatives_district_13
wake_44171,288,444,us_house_of_representatives_district_13
wake_44172,260,512,us_house_of_representatives_district_13
wake_44173,501,559,us_house_of_representatives_district_13
wake_44174,308,519,us_house_of_representatives_district_13
wake_13-02,332,446,us_house_of_representatives_district_13
wake_13-06,444,529,us_house_of_representatives_district_13
wake_13-10,860,1325,us_house_of_representatives_district_13
wake_13-11,416,702,us_house_of_representatives_district_13
wake_14-01,104,280,us_house_of_representatives_district_13
wake_14-02,524,1466,us_house_of_representatives_district_13
wake_15-01,425,860,us_house_of_representatives_district_13
wake_15-02,567,1072,us_house_of_representatives_district_13
wake_15-03,452,1084,us_house_of_representatives_district_13
wake_15-04,242,443,us_house_of_representatives_district_13
wake_16-01,255,460,us_house_of_representatives_district_13
wake_16-04,340,394,us_house_of_representatives_district_13
wake_16-05,318,424,us_house_of_representatives_district_13
wake_16-07,485,646,us_house_of_representatives_district_13
wake_16-09,400,410,us_house_of_representatives_district_13
wake_17-02,139,147,us_house_of_representatives_district_13
