prec_id,G. K. Butterfield,Pete DiLauro,Darryl Holloman,election
beaufort_PSJW3,250,37,4,us_house_of_representatives_district_1
beaufort_WASH1,224,104,19,us_house_of_representatives_district_1
beaufort_WASH2,204,94,11,us_house_of_representatives_district_1
bertie_C1,118,142,7,us_house_of_representatives_district_1
bertie_C2,189,45,8,us_house_of_representatives_district_1
bertie_IW,111,5,0,us_house_of_representatives_district_1
bertie_M1,135,109,6,us_house_of_representatives_district_1
bertie_M2,281,92,10,us_house_of_representatives_district_1
bertie_MH,128,88,5,us_house_of_representatives_district_1
bertie_RX,387,75,16,us_house_of_representatives_district_1
bertie_SN,165,24,4,us_house_of_representatives_district_1
bertie_W1,482,161,11,us_house_of_representatives_district_1
bertie_W2,114,145,7,us_house_of_representatives_district_1
bertie_WD,292,18,6,us_house_of_representatives_district_1
bertie_WH,179,150,1,us_house_of_representatives_district_1
chowan_1,270,86,13,us_house_of_representatives_district_1
chowan_2,280,177,12,us_house_of_representatives_district_1
chowan_4,162,107,7,us_house_of_representatives_district_1
chowan_6,0,0,1,us_house_of_representatives_district_1
craven_06,138,117,12,us_house_of_representatives_district_1
craven_07,247,257,11,us_house_of_representatives_district_1
craven_08,83,88,5,us_house_of_representatives_district_1
craven_09,115,97,1,us_house_of_representatives_district_1
craven_N1,238,123,20,us_house_of_representatives_district_1
craven_N2,358,133,12,us_house_of_representatives_district_1
craven_N4,475,349,27,us_house_of_representatives_district_1
craven_N5,268,154,22,us_house_of_representatives_district_1
durham_01,235,24,14,us_house_of_representatives_district_1
durham_02,413,60,32,us_house_of_representatives_district_1
durham_03,359,69,15,us_house_of_representatives_district_1
durham_05,370,60,21,us_house_of_representatives_district_1
durham_06,285,53,17,us_house_of_representatives_district_1
durham_07,249,43,15,us_house_of_representatives_district_1
durham_08,412,26,21,us_house_of_representatives_district_1
durham_09,452,101,20,us_house_of_representatives_district_1
durham_10,247,11,2,us_house_of_representatives_district_1
durham_12,176,6,3,us_house_of_representatives_district_1
durham_13,319,4,1,us_house_of_representatives_district_1
durham_14,410,38,6,us_house_of_representatives_district_1
durham_15,319,36,8,us_house_of_representatives_district_1
durham_17,563,20,11,us_house_of_representatives_district_1
durham_18,470,21,4,us_house_of_representatives_district_1
durham_19,550,85,24,us_house_of_representatives_district_1
durham_20,349,39,16,us_house_of_representatives_district_1
durham_21,404,76,24,us_house_of_representatives_district_1
durham_22,979,68,20,us_house_of_representatives_district_1
durham_23,831,151,29,us_house_of_representatives_district_1
durham_24,467,320,40,us_house_of_representatives_district_1
durham_29,521,361,43,us_house_of_representatives_district_1
durham_30-1,550,308,42,us_house_of_representatives_district_1
durham_30-2,724,154,45,us_house_of_representatives_district_1
durham_31,489,378,50,us_house_of_representatives_district_1
durham_34-1,433,97,34,us_house_of_representatives_district_1
durham_34-2,697,119,33,us_house_of_representatives_district_1
durham_40,377,58,19,us_house_of_representatives_district_1
durham_41,368,8,2,us_house_of_representatives_district_1
durham_42,281,4,2,us_house_of_representatives_district_1
