prec_id,Mike McIntyre,David Rouzer,election
bladen_P10,173,90,us_house_of_representatives_district_7
bladen_P15,275,253,us_house_of_representatives_district_7
bladen_P201,179,132,us_house_of_representatives_district_7
bladen_P202,274,208,us_house_of_representatives_district_7
bladen_P25,273,130,us_house_of_representatives_district_7
bladen_P30,154,33,us_house_of_representatives_district_7
bladen_P35,100,63,us_house_of_representatives_district_7
bladen_P40,200,187,us_house_of_representatives_district_7
bladen_P45,126,108,us_house_of_representatives_district_7
bladen_P501,346,110,us_house_of_representatives_district_7
bladen_P502,198,83,us_house_of_representatives_district_7
bladen_P55,193,100,us_house_of_representatives_district_7
bladen_P60,292,153,us_house_of_representatives_district_7
bladen_P65,96,107,us_house_of_representatives_district_7
bladen_P70,93,60,us_house_of_representatives_district_7
bladen_P75,252,61,us_house_of_representatives_district_7
bladen_P80,196,140,us_house_of_representatives_district_7
bladen_CURBSIDE,0,0,us_house_of_representatives_district_7
brunswick_01,623,443,us_house_of_representatives_district_7
brunswick_02,1525,1062,us_house_of_representatives_district_7
brunswick_03,661,270,us_house_of_representatives_district_7
brunswick_04A,2106,1972,us_house_of_representatives_district_7
brunswick_04B,1101,1012,us_house_of_representatives_district_7
brunswick_04C,748,725,us_house_of_representatives_district_7
brunswick_05,1050,1068,us_house_of_representatives_district_7
brunswick_06,536,465,us_house_of_representatives_district_7
brunswick_07,922,762,us_house_of_representatives_district_7
brunswick_08,1316,1220,us_house_of_representatives_district_7
brunswick_09,397,394,us_house_of_representatives_district_7
brunswick_10A,854,1025,us_house_of_representatives_district_7
brunswick_10B,1175,1552,us_house_of_representatives_district_7
brunswick_11,1058,491,us_house_of_representatives_district_7
brunswick_12,892,839,us_house_of_representatives_district_7
brunswick_13,968,822,us_house_of_representatives_district_7
brunswick_14,1297,1426,us_house_of_representatives_district_7
brunswick_15,1433,1671,us_house_of_representatives_district_7
brunswick_16,1324,1668,us_house_of_representatives_district_7
brunswick_17,1742,1585,us_house_of_representatives_district_7
brunswick_18,503,574,us_house_of_representatives_district_7
brunswick_19,1194,1348,us_house_of_representatives_district_7
brunswick_20,949,1094,us_house_of_representatives_district_7
brunswick_21,1169,1495,us_house_of_representatives_district_7
brunswick_22,756,767,us_house_of_representatives_district_7
brunswick_23,718,820,us_house_of_representatives_district_7
brunswick_CURBSIDE,288,180,us_house_of_representatives_district_7
columbus_P01A,366,230,us_house_of_representatives_district_7
columbus_P02A,236,70,us_house_of_representatives_district_7
columbus_P03,154,137,us_house_of_representatives_district_7
columbus_P04,99,75,us_house_of_representatives_district_7
columbus_P05,113,80,us_house_of_representatives_district_7
columbus_P06,186,142,us_house_of_representatives_district_7
columbus_P07,531,221,us_house_of_representatives_district_7
columbus_P08,89,99,us_house_of_representatives_district_7
columbus_P09,284,111,us_house_of_representatives_district_7
columbus_P10,128,175,us_house_of_representatives_district_7
columbus_P11,187,166,us_house_of_representatives_district_7
columbus_P12,54,89,us_house_of_representatives_district_7
columbus_P13,152,135,us_house_of_representatives_district_7
columbus_P14,429,316,us_house_of_representatives_district_7
columbus_P15,445,241,us_house_of_representatives_district_7
columbus_P16A,360,240,us_house_of_representatives_district_7
columbus_P17,287,86,us_house_of_representatives_district_7
columbus_P18,143,68,us_house_of_representatives_district_7
columbus_P19,309,189,us_house_of_representatives_district_7
columbus_P20,140,64,us_house_of_representatives_district_7
columbus_P21,170,152,us_house_of_representatives_district_7
columbus_P22,323,274,us_house_of_representatives_district_7
columbus_P23,277,184,us_house_of_representatives_district_7
columbus_P24,370,383,us_house_of_representatives_district_7
columbus_P25A,260,268,us_house_of_representatives_district_7
columbus_P26A,580,339,us_house_of_representatives_district_7
cumberland_AL51,1213,1436,us_house_of_representatives_district_7
cumberland_G6B,393,412,us_house_of_representatives_district_7
cumberland_G6C,718,608,us_house_of_representatives_district_7
cumberland_G6A,1023,1388,us_house_of_representatives_district_7
duplin_ALBE,154,385,us_house_of_representatives_district_7
duplin_BEUL,299,566,us_house_of_representatives_district_7
duplin_CALY,159,279,us_house_of_representatives_district_7
duplin_CFRK,70,267,us_house_of_representatives_district_7
duplin_CHAR,339,124,us_house_of_representatives_district_7
duplin_CHIN,131,249,us_house_of_representatives_district_7
duplin_CYCK,197,446,us_house_of_representatives_district_7
duplin_FAIS,293,255,us_house_of_representatives_district_7
duplin_GLIS,93,223,us_house_of_representatives_district_7
duplin_HALL,223,194,us_house_of_representatives_district_7
duplin_KENA,361,197,us_house_of_representatives_district_7
duplin_LOCK,79,132,us_house_of_representatives_district_7
duplin_MAGN,271,143,us_house_of_representatives_district_7
duplin_ROCK,201,183,us_house_of_representatives_district_7
duplin_ROSE,354,290,us_house_of_representatives_district_7
duplin_SMCA,140,265,us_house_of_representatives_district_7
duplin_WALL,777,584,us_house_of_representatives_district_7
duplin_WARS,595,250,us_house_of_representatives_district_7
duplin_WOLF,209,412,us_house_of_representatives_district_7
hoke_01,134,42,us_house_of_representatives_district_7
hoke_02,915,202,us_house_of_representatives_district_7
hoke_03,444,127,us_house_of_representatives_district_7
hoke_61,827,253,us_house_of_representatives_district_7
hoke_62,423,177,us_house_of_representatives_district_7
hoke_64,770,342,us_house_of_representatives_district_7
hoke_65,592,14,us_house_of_representatives_district_7
hoke_ACCUMULATED,0,0,us_house_of_representatives_district_7
johnston_PR04,185,350,us_house_of_representatives_district_7
johnston_PR07,322,874,us_house_of_representatives_district_7
johnston_PR08,220,657,us_house_of_representatives_district_7
johnston_PR09,288,588,us_house_of_representatives_district_7
johnston_PR10A,261,196,us_house_of_representatives_district_7
johnston_PR10B,148,255,us_house_of_representatives_district_7
johnston_PR11A,247,360,us_house_of_representatives_district_7
johnston_PR11B,392,506,us_house_of_representatives_district_7
johnston_PR12A,299,493,us_house_of_representatives_district_7
johnston_PR12B,303,474,us_house_of_representatives_district_7
johnston_PR13,221,587,us_house_of_representatives_district_7
johnston_PR14,212,687,us_house_of_representatives_district_7
johnston_PR19,247,492,us_house_of_representatives_district_7
johnston_PR20,478,710,us_house_of_representatives_district_7
johnston_PR21,236,704,us_house_of_representatives_district_7
johnston_PR22,389,809,us_house_of_representatives_district_7
johnston_PR23A,283,708,us_house_of_representatives_district_7
johnston_PR23B,322,728,us_house_of_representatives_district_7
johnston_PR24,397,244,us_house_of_representatives_district_7
johnston_PR25,342,343,us_house_of_representatives_district_7
johnston_PR26,294,163,us_house_of_representatives_district_7
johnston_PR27A,210,174,us_house_of_representatives_district_7
johnston_PR27B,251,326,us_house_of_representatives_district_7
