prec_id,Jennifer Roberts,Robert Pittenger,Curtis Campbell,election
iredell_BA,964,1730,91,us_house_of_representatives_district_9
iredell_BE,1132,2313,84,us_house_of_representatives_district_9
iredell_CC1,1446,2097,127,us_house_of_representatives_district_9
iredell_CC2,1723,1810,106,us_house_of_representatives_district_9
iredell_CC3,1916,2828,162,us_house_of_representatives_district_9
iredell_CC4,1321,2353,117,us_house_of_representatives_district_9
iredell_CD,947,2046,67,us_house_of_representatives_district_9
iredell_CH-B,494,845,33,us_house_of_representatives_district_9
iredell_DV1-A,1188,2886,118,us_house_of_representatives_district_9
iredell_DV1-B,1583,4162,152,us_house_of_representatives_district_9
iredell_DV2-A,769,2005,99,us_house_of_representatives_district_9
iredell_DV2-B,848,1729,83,us_house_of_representatives_district_9
iredell_FT,1523,3092,125,us_house_of_representatives_district_9
iredell_OL,231,641,21,us_house_of_representatives_district_9
iredell_SB,332,881,29,us_house_of_representatives_district_9
iredell_SH-A,631,1362,58,us_house_of_representatives_district_9
iredell_SH-B,633,1352,57,us_house_of_representatives_district_9
mecklenburg_1,537,490,18,us_house_of_representatives_district_9
mecklenburg_2,1158,468,63,us_house_of_representatives_district_9
mecklenburg_7,780,280,27,us_house_of_representatives_district_9
mecklenburg_8,685,813,35,us_house_of_representatives_district_9
mecklenburg_9,1166,705,50,us_house_of_representatives_district_9
mecklenburg_10,998,664,71,us_house_of_representatives_district_9
mecklenburg_15,1356,416,48,us_house_of_representatives_district_9
mecklenburg_18,502,683,13,us_house_of_representatives_district_9
mecklenburg_19,579,597,26,us_house_of_representatives_district_9
mecklenburg_20,897,676,40,us_house_of_representatives_district_9
mecklenburg_21,861,447,54,us_house_of_representatives_district_9
mecklenburg_32,580,812,28,us_house_of_representatives_district_9
mecklenburg_34,1132,350,51,us_house_of_representatives_district_9
mecklenburg_35,637,500,24,us_house_of_representatives_district_9
mecklenburg_36,931,767,43,us_house_of_representatives_district_9
mecklenburg_37,725,674,53,us_house_of_representatives_district_9
mecklenburg_38,865,335,57,us_house_of_representatives_district_9
mecklenburg_44,767,279,33,us_house_of_representatives_district_9
mecklenburg_47,784,866,34,us_house_of_representatives_district_9
mecklenburg_48,520,772,30,us_house_of_representatives_district_9
mecklenburg_49,770,692,47,us_house_of_representatives_district_9
mecklenburg_50,749,420,48,us_house_of_representatives_district_9
mecklenburg_51,1047,700,39,us_house_of_representatives_district_9
mecklenburg_57,633,684,29,us_house_of_representatives_district_9
mecklenburg_58,598,430,50,us_house_of_representatives_district_9
mecklenburg_59,558,307,24,us_house_of_representatives_district_9
mecklenburg_64,585,199,27,us_house_of_representatives_district_9
mecklenburg_65,534,438,34,us_house_of_representatives_district_9
