prec_id,Jimmy Dixon,election
duplin_CHAR,167,nc_house_of_representatives_district_004
duplin_CHIN,251,nc_house_of_representatives_district_004
duplin_WALL,734,nc_house_of_representatives_district_004
duplin_BEUL,623,nc_house_of_representatives_district_004
duplin_GLIS,178,nc_house_of_representatives_district_004
duplin_CFRK,268,nc_house_of_representatives_district_004
duplin_SMCA,297,nc_house_of_representatives_district_004
duplin_KENA,279,nc_house_of_representatives_district_004
duplin_HALL,216,nc_house_of_representatives_district_004
duplin_LOCK,135,nc_house_of_representatives_district_004
duplin_ALBE,355,nc_house_of_representatives_district_004
duplin_CALY,233,nc_house_of_representatives_district_004
duplin_FAIS,244,nc_house_of_representatives_district_004
duplin_CYCK,397,nc_house_of_representatives_district_004
duplin_ONESTOP,1263,nc_house_of_representatives_district_004
duplin_WOLF,400,nc_house_of_representatives_district_004
wayne_8,40,nc_house_of_representatives_district_004
wayne_5,490,nc_house_of_representatives_district_004
wayne_ONESTOP,5166,nc_house_of_representatives_district_004
wayne_16,276,nc_house_of_representatives_district_004
wayne_14,470,nc_house_of_representatives_district_004
wayne_11,43,nc_house_of_representatives_district_004
wayne_26,111,nc_house_of_representatives_district_004
wayne_9,439,nc_house_of_representatives_district_004
wayne_24,373,nc_house_of_representatives_district_004
wayne_6,250,nc_house_of_representatives_district_004
wayne_23,238,nc_house_of_representatives_district_004
wayne_17,0,nc_house_of_representatives_district_004
wayne_15,484,nc_house_of_representatives_district_004
wayne_28,244,nc_house_of_representatives_district_004
wayne_25,233,nc_house_of_representatives_district_004
wayne_7,592,nc_house_of_representatives_district_004
wayne_12,177,nc_house_of_representatives_district_004
