prec_id,Evelyn Paul,John R. Bell,election
craven_14,74,170,nc_house_of_representatives_district_010
craven_8,6,48,nc_house_of_representatives_district_010
craven_5,278,644,nc_house_of_representatives_district_010
craven_15,131,214,nc_house_of_representatives_district_010
craven_N2,157,183,nc_house_of_representatives_district_010
craven_4,1,1,nc_house_of_representatives_district_010
craven_7,275,674,nc_house_of_representatives_district_010
craven_N6,999,1601,nc_house_of_representatives_district_010
craven_6,187,148,nc_house_of_representatives_district_010
craven_3,573,1840,nc_house_of_representatives_district_010
craven_9,8,56,nc_house_of_representatives_district_010
craven_10,48,252,nc_house_of_representatives_district_010
craven_N3,444,598,nc_house_of_representatives_district_010
craven_N4,699,616,nc_house_of_representatives_district_010
greene_SHIN,61,234,nc_house_of_representatives_district_010
greene_MAUR,69,163,nc_house_of_representatives_district_010
greene_ABSENTEE,23,20,nc_house_of_representatives_district_010
greene_WALS,142,184,nc_house_of_representatives_district_010
greene_CAST,37,178,nc_house_of_representatives_district_010
greene_BULL,11,43,nc_house_of_representatives_district_010
lenoir_I,37,85,nc_house_of_representatives_district_010
lenoir_K5,21,36,nc_house_of_representatives_district_010
lenoir_C,260,469,nc_house_of_representatives_district_010
lenoir_MH,200,554,nc_house_of_representatives_district_010
lenoir_N,476,1252,nc_house_of_representatives_district_010
lenoir_CURBSIDE,63,71,nc_house_of_representatives_district_010
lenoir_PH2,132,616,nc_house_of_representatives_district_010
lenoir_T1,165,711,nc_house_of_representatives_district_010
lenoir_ABSENTEE,52,189,nc_house_of_representatives_district_010
lenoir_FC,775,2009,nc_house_of_representatives_district_010
lenoir_W,115,668,nc_house_of_representatives_district_010
lenoir_SW,125,540,nc_house_of_representatives_district_010
lenoir_K4,583,764,nc_house_of_representatives_district_010
lenoir_T2,91,515,nc_house_of_representatives_district_010
lenoir_SH,26,82,nc_house_of_representatives_district_010
lenoir_PH1,92,349,nc_house_of_representatives_district_010
wayne_7,17,60,nc_house_of_representatives_district_010
wayne_1,98,271,nc_house_of_representatives_district_010
wayne_4,168,537,nc_house_of_representatives_district_010
wayne_2,179,468,nc_house_of_representatives_district_010
wayne_8,63,432,nc_house_of_representatives_district_010
wayne_ABSENTEE,61,200,nc_house_of_representatives_district_010
wayne_24,43,369,nc_house_of_representatives_district_010
wayne_3,92,463,nc_house_of_representatives_district_010
