prec_id,George Graham,election
craven_16,80,nc_house_of_representatives_district_012
craven_19,584,nc_house_of_representatives_district_012
craven_4,349,nc_house_of_representatives_district_012
craven_7,372,nc_house_of_representatives_district_012
craven_N3,100,nc_house_of_representatives_district_012
craven_N4,557,nc_house_of_representatives_district_012
craven_3,116,nc_house_of_representatives_district_012
craven_15,25,nc_house_of_representatives_district_012
craven_17,12,nc_house_of_representatives_district_012
craven_2,488,nc_house_of_representatives_district_012
craven_5,346,nc_house_of_representatives_district_012
craven_8,310,nc_house_of_representatives_district_012
craven_N5,380,nc_house_of_representatives_district_012
craven_N6,162,nc_house_of_representatives_district_012
craven_21,262,nc_house_of_representatives_district_012
craven_9,171,nc_house_of_representatives_district_012
craven_6,185,nc_house_of_representatives_district_012
craven_N1,465,nc_house_of_representatives_district_012
craven_N2,633,nc_house_of_representatives_district_012
craven_23,54,nc_house_of_representatives_district_012
craven_10,162,nc_house_of_representatives_district_012
greene_CAST,58,nc_house_of_representatives_district_012
greene_ONESTOP,1344,nc_house_of_representatives_district_012
greene_MAUR,171,nc_house_of_representatives_district_012
greene_BULL,132,nc_house_of_representatives_district_012
greene_WALS,17,nc_house_of_representatives_district_012
greene_SHIN,77,nc_house_of_representatives_district_012
greene_SUGG,178,nc_house_of_representatives_district_012
greene_HOOK,147,nc_house_of_representatives_district_012
greene_BEAR,139,nc_house_of_representatives_district_012
greene_SH#1,185,nc_house_of_representatives_district_012
greene_ARBA,207,nc_house_of_representatives_district_012
lenoir_K3,457,nc_house_of_representatives_district_012
lenoir_N,151,nc_house_of_representatives_district_012
lenoir_CURBSIDE,0,nc_house_of_representatives_district_012
lenoir_I,360,nc_house_of_representatives_district_012
lenoir_V,728,nc_house_of_representatives_district_012
lenoir_K4,198,nc_house_of_representatives_district_012
lenoir_MH,941,nc_house_of_representatives_district_012
lenoir_SH,154,nc_house_of_representatives_district_012
lenoir_C,365,nc_house_of_representatives_district_012
lenoir_K5,548,nc_house_of_representatives_district_012
lenoir_K1,312,nc_house_of_representatives_district_012
lenoir_K7,797,nc_house_of_representatives_district_012
lenoir_K2,386,nc_house_of_representatives_district_012
lenoir_K6,835,nc_house_of_representatives_district_012
lenoir_K8,550,nc_house_of_representatives_district_012
lenoir_K9,800,nc_house_of_representatives_district_012
