prec_id,George G. Cleveland,election
onslow_BC21,925,nc_house_of_representatives_district_014
onslow_ONESTOP,3376,nc_house_of_representatives_district_014
onslow_SW19,1311,nc_house_of_representatives_district_014
onslow_NE22B,748,nc_house_of_representatives_district_014
onslow_HM05,455,nc_house_of_representatives_district_014
onslow_ML23,260,nc_house_of_representatives_district_014
onslow_NE22A,399,nc_house_of_representatives_district_014
onslow_HU20,611,nc_house_of_representatives_district_014
onslow_GB12,83,nc_house_of_representatives_district_014
onslow_BM08,844,nc_house_of_representatives_district_014
onslow_EN03,905,nc_house_of_representatives_district_014
onslow_MT24,457,nc_house_of_representatives_district_014
