prec_id,Charles Warren,Frank Iler,election
brunswick_11,506,371,nc_house_of_representatives_district_017
brunswick_8,687,1382,nc_house_of_representatives_district_017
brunswick_22,309,803,nc_house_of_representatives_district_017
brunswick_14,567,1284,nc_house_of_representatives_district_017
brunswick_16,737,1642,nc_house_of_representatives_district_017
brunswick_19,590,1202,nc_house_of_representatives_district_017
brunswick_21,448,1311,nc_house_of_representatives_district_017
brunswick_13,432,665,nc_house_of_representatives_district_017
brunswick_18,199,416,nc_house_of_representatives_district_017
brunswick_CURBSIDE,63,62,nc_house_of_representatives_district_017
brunswick_04A,854,1217,nc_house_of_representatives_district_017
brunswick_7,457,885,nc_house_of_representatives_district_017
brunswick_10A,448,1076,nc_house_of_representatives_district_017
brunswick_20,375,950,nc_house_of_representatives_district_017
brunswick_9,156,456,nc_house_of_representatives_district_017
brunswick_23,342,802,nc_house_of_representatives_district_017
brunswick_10B,775,1906,nc_house_of_representatives_district_017
brunswick_17,965,1452,nc_house_of_representatives_district_017
brunswick_12,424,811,nc_house_of_representatives_district_017
brunswick_15,659,1606,nc_house_of_representatives_district_017
