prec_id,"Ted Davis, Jr.",election
new hanover_FP07,2567,nc_house_of_representatives_district_019
new hanover_OS CAB PAPER,161,nc_house_of_representatives_district_019
new hanover_M06,1648,nc_house_of_representatives_district_019
new hanover_OS CFCC PAPER,3,nc_house_of_representatives_district_019
new hanover_W21,1791,nc_house_of_representatives_district_019
new hanover_W30,1788,nc_house_of_representatives_district_019
new hanover_FP03,979,nc_house_of_representatives_district_019
new hanover_ABSENTEE,0,nc_house_of_representatives_district_019
new hanover_M07,1136,nc_house_of_representatives_district_019
new hanover_M02,3444,nc_house_of_representatives_district_019
new hanover_OS GVT PAPER,62,nc_house_of_representatives_district_019
new hanover_FP08,2635,nc_house_of_representatives_district_019
new hanover_FP04,2560,nc_house_of_representatives_district_019
new hanover_OS SRC PAPER,192,nc_house_of_representatives_district_019
new hanover_M04,3292,nc_house_of_representatives_district_019
new hanover_H03,2667,nc_house_of_representatives_district_019
new hanover_M03,2000,nc_house_of_representatives_district_019
new hanover_WB,1209,nc_house_of_representatives_district_019
new hanover_W26,929,nc_house_of_representatives_district_019
new hanover_OS NLB PAPER,23,nc_house_of_representatives_district_019
new hanover_FP06,1905,nc_house_of_representatives_district_019
