prec_id,Betsy Jordan,Rick Catlin,election
new hanover_ONESTOP,0,0,nc_house_of_representatives_district_020
new hanover_H08,957,1808,nc_house_of_representatives_district_020
new hanover_H04,633,1036,nc_house_of_representatives_district_020
new hanover_H11,909,1322,nc_house_of_representatives_district_020
new hanover_W24,227,176,nc_house_of_representatives_district_020
new hanover_W18,294,369,nc_house_of_representatives_district_020
new hanover_CF05,486,685,nc_house_of_representatives_district_020
new hanover_CF06,470,694,nc_house_of_representatives_district_020
new hanover_H06,514,698,nc_house_of_representatives_district_020
new hanover_W31,710,1247,nc_house_of_representatives_district_020
new hanover_H10,752,653,nc_house_of_representatives_district_020
new hanover_H01,321,399,nc_house_of_representatives_district_020
new hanover_H02,508,1567,nc_house_of_representatives_district_020
new hanover_W17,534,720,nc_house_of_representatives_district_020
new hanover_H05,623,1178,nc_house_of_representatives_district_020
new hanover_H09,1214,2581,nc_house_of_representatives_district_020
new hanover_CF02,426,767,nc_house_of_representatives_district_020
new hanover_W16,674,944,nc_house_of_representatives_district_020
