prec_id,Holly Grange,election
new hanover_W24,1008,nc_house_of_representatives_district_020
new hanover_OS CAB PAPER,5,nc_house_of_representatives_district_020
new hanover_OS CFCC PAPER,2,nc_house_of_representatives_district_020
new hanover_W18,743,nc_house_of_representatives_district_020
new hanover_H11,3072,nc_house_of_representatives_district_020
new hanover_CF02,1452,nc_house_of_representatives_district_020
new hanover_ABSENTEE,0,nc_house_of_representatives_district_020
new hanover_CF05,1497,nc_house_of_representatives_district_020
new hanover_CF06,1378,nc_house_of_representatives_district_020
new hanover_OS GVT PAPER,232,nc_house_of_representatives_district_020
new hanover_H08,3201,nc_house_of_representatives_district_020
new hanover_H12,1948,nc_house_of_representatives_district_020
new hanover_OS SRC PAPER,145,nc_house_of_representatives_district_020
new hanover_H04,2048,nc_house_of_representatives_district_020
new hanover_H10,1770,nc_house_of_representatives_district_020
new hanover_W31,1950,nc_house_of_representatives_district_020
new hanover_H06,1440,nc_house_of_representatives_district_020
new hanover_H13,2436,nc_house_of_representatives_district_020
new hanover_W17,1132,nc_house_of_representatives_district_020
new hanover_H01,840,nc_house_of_representatives_district_020
new hanover_H02,2280,nc_house_of_representatives_district_020
new hanover_W16,1586,nc_house_of_representatives_district_020
new hanover_OS NLB PAPER,187,nc_house_of_representatives_district_020
new hanover_H05,2062,nc_house_of_representatives_district_020
