prec_id,William Brisson,election
bladen_P25,260,nc_house_of_representatives_district_022
bladen_P75,205,nc_house_of_representatives_district_022
bladen_P502,164,nc_house_of_representatives_district_022
bladen_P55,141,nc_house_of_representatives_district_022
bladen_P65,124,nc_house_of_representatives_district_022
bladen_P30,121,nc_house_of_representatives_district_022
bladen_MAIL ABSENTEE,320,nc_house_of_representatives_district_022
bladen_P70,102,nc_house_of_representatives_district_022
bladen_P201,24,nc_house_of_representatives_district_022
bladen_P501,292,nc_house_of_representatives_district_022
bladen_P15,404,nc_house_of_representatives_district_022
bladen_P35,101,nc_house_of_representatives_district_022
bladen_P60,290,nc_house_of_representatives_district_022
bladen_P45,123,nc_house_of_representatives_district_022
bladen_P40,246,nc_house_of_representatives_district_022
bladen_P80,220,nc_house_of_representatives_district_022
bladen_P10,181,nc_house_of_representatives_district_022
johnston_PR38,293,nc_house_of_representatives_district_022
sampson_CLEM,340,nc_house_of_representatives_district_022
sampson_CLNE,236,nc_house_of_representatives_district_022
sampson_CLEA,62,nc_house_of_representatives_district_022
sampson_ABSENTEE,250,nc_house_of_representatives_district_022
sampson_ROWA,292,nc_house_of_representatives_district_022
sampson_GARL,190,nc_house_of_representatives_district_022
sampson_CLCE,5,nc_house_of_representatives_district_022
sampson_HERR,138,nc_house_of_representatives_district_022
sampson_INGO,175,nc_house_of_representatives_district_022
sampson_GIDD,183,nc_house_of_representatives_district_022
sampson_PLVW,261,nc_house_of_representatives_district_022
sampson_MING,371,nc_house_of_representatives_district_022
sampson_CLWE,206,nc_house_of_representatives_district_022
sampson_KFRK,292,nc_house_of_representatives_district_022
sampson_TURK,13,nc_house_of_representatives_district_022
sampson_AUTR,272,nc_house_of_representatives_district_022
sampson_SBRG,229,nc_house_of_representatives_district_022
sampson_CLSW,166,nc_house_of_representatives_district_022
sampson_NGRV,240,nc_house_of_representatives_district_022
sampson_KEEN,230,nc_house_of_representatives_district_022
sampson_WBRK,284,nc_house_of_representatives_district_022
sampson_LAKE,430,nc_house_of_representatives_district_022
sampson_ROSE,211,nc_house_of_representatives_district_022
