prec_id,Charles M. Johnson,Jeffrey L. (Jeff) Collins,election
franklin_8,386,687,nc_house_of_representatives_district_025
franklin_11,19,30,nc_house_of_representatives_district_025
franklin_5,387,601,nc_house_of_representatives_district_025
franklin_14,640,1092,nc_house_of_representatives_district_025
franklin_16,7,31,nc_house_of_representatives_district_025
franklin_19,766,1212,nc_house_of_representatives_district_025
franklin_7,214,557,nc_house_of_representatives_district_025
franklin_17,514,933,nc_house_of_representatives_district_025
franklin_15,35,73,nc_house_of_representatives_district_025
franklin_3,126,197,nc_house_of_representatives_district_025
franklin_6,496,347,nc_house_of_representatives_district_025
franklin_9,228,437,nc_house_of_representatives_district_025
franklin_13,316,558,nc_house_of_representatives_district_025
franklin_18,442,721,nc_house_of_representatives_district_025
franklin_10,92,202,nc_house_of_representatives_district_025
nash_34,22,13,nc_house_of_representatives_district_025
nash_38,1,4,nc_house_of_representatives_district_025
nash_35,125,496,nc_house_of_representatives_district_025
nash_ONESTOP,1940,4909,nc_house_of_representatives_district_025
nash_7,4,12,nc_house_of_representatives_district_025
nash_2,17,32,nc_house_of_representatives_district_025
nash_37,117,279,nc_house_of_representatives_district_025
nash_25,161,514,nc_house_of_representatives_district_025
nash_11,159,238,nc_house_of_representatives_district_025
nash_6,175,437,nc_house_of_representatives_district_025
nash_3,55,169,nc_house_of_representatives_district_025
nash_8,90,295,nc_house_of_representatives_district_025
nash_5,321,462,nc_house_of_representatives_district_025
nash_39,105,307,nc_house_of_representatives_district_025
nash_26,177,767,nc_house_of_representatives_district_025
nash_4,122,728,nc_house_of_representatives_district_025
nash_1,339,642,nc_house_of_representatives_district_025
nash_15,208,568,nc_house_of_representatives_district_025
nash_41,57,225,nc_house_of_representatives_district_025
nash_12,64,175,nc_house_of_representatives_district_025
