prec_id,James D. Gailliard,Jeffrey L. (Jeff) Collins,election
franklin_13,439,853,nc_house_of_representatives_district_025
franklin_18,627,1262,nc_house_of_representatives_district_025
franklin_16,7,42,nc_house_of_representatives_district_025
franklin_14,989,1910,nc_house_of_representatives_district_025
franklin_19,1252,2087,nc_house_of_representatives_district_025
franklin_11,17,47,nc_house_of_representatives_district_025
franklin_8,585,1052,nc_house_of_representatives_district_025
franklin_5,541,925,nc_house_of_representatives_district_025
franklin_15,51,106,nc_house_of_representatives_district_025
franklin_7,308,864,nc_house_of_representatives_district_025
franklin_10,103,326,nc_house_of_representatives_district_025
franklin_9,295,600,nc_house_of_representatives_district_025
franklin_6,623,510,nc_house_of_representatives_district_025
franklin_3,207,366,nc_house_of_representatives_district_025
franklin_17,793,1563,nc_house_of_representatives_district_025
nash_P06A,105,196,nc_house_of_representatives_district_025
nash_MT PLEASANT OS,633,1406,nc_house_of_representatives_district_025
nash_P14A,43,174,nc_house_of_representatives_district_025
nash_P19A,170,369,nc_house_of_representatives_district_025
nash_P08A,101,279,nc_house_of_representatives_district_025
nash_ABSENTEE,115,377,nc_house_of_representatives_district_025
nash_P04A,78,234,nc_house_of_representatives_district_025
nash_P07A,46,169,nc_house_of_representatives_district_025
nash_NASHVILLE OS,2860,7434,nc_house_of_representatives_district_025
nash_P10A,1,9,nc_house_of_representatives_district_025
nash_SPRING HOPE OS,442,628,nc_house_of_representatives_district_025
nash_P05A,75,658,nc_house_of_representatives_district_025
nash_P15A,109,359,nc_house_of_representatives_district_025
nash_P23A,17,26,nc_house_of_representatives_district_025
nash_ROCKY MOUNT OS,489,609,nc_house_of_representatives_district_025
nash_P16A,5,29,nc_house_of_representatives_district_025
nash_P03A,160,415,nc_house_of_representatives_district_025
nash_P11A,111,549,nc_house_of_representatives_district_025
nash_P18A,2,2,nc_house_of_representatives_district_025
nash_P24A,103,363,nc_house_of_representatives_district_025
nash_P01A,247,428,nc_house_of_representatives_district_025
nash_P09A,50,194,nc_house_of_representatives_district_025
nash_P02A,268,480,nc_house_of_representatives_district_025
