prec_id,Michael H. Wray,election
halifax_HAL,182,nc_house_of_representatives_district_027
halifax_RR 3,266,nc_house_of_representatives_district_027
halifax_ONE-STOP HALIFAX,4168,nc_house_of_representatives_district_027
halifax_RR 9,473,nc_house_of_representatives_district_027
halifax_FAUCT,310,nc_house_of_representatives_district_027
halifax_RR 10,546,nc_house_of_representatives_district_027
halifax_ONE-STOP SCOTLAND NECK,1436,nc_house_of_representatives_district_027
halifax_HOL,801,nc_house_of_representatives_district_027
halifax_BUTWD,147,nc_house_of_representatives_district_027
halifax_RRC,406,nc_house_of_representatives_district_027
halifax_ABSENTEE,348,nc_house_of_representatives_district_027
halifax_ENF1,755,nc_house_of_representatives_district_027
halifax_RR 4,225,nc_house_of_representatives_district_027
halifax_RR 7,215,nc_house_of_representatives_district_027
halifax_LIT 1,467,nc_house_of_representatives_district_027
halifax_WEL1-2,339,nc_house_of_representatives_district_027
halifax_RR 5,244,nc_house_of_representatives_district_027
halifax_WEL 3,385,nc_house_of_representatives_district_027
halifax_RR1-2,258,nc_house_of_representatives_district_027
halifax_SN,440,nc_house_of_representatives_district_027
halifax_RR 11,485,nc_house_of_representatives_district_027
halifax_LIT 2,356,nc_house_of_representatives_district_027
halifax_HPR,246,nc_house_of_representatives_district_027
halifax_ONE-STOP ROANOKE RAPIDS,6592,nc_house_of_representatives_district_027
halifax_CONC,102,nc_house_of_representatives_district_027
halifax_RINGW,523,nc_house_of_representatives_district_027
halifax_ENF 2,549,nc_house_of_representatives_district_027
northampton_GASTON,557,nc_house_of_representatives_district_027
northampton_WOODLA,206,nc_house_of_representatives_district_027
northampton_SEVERN,141,nc_house_of_representatives_district_027
northampton_LAKE G,179,nc_house_of_representatives_district_027
northampton_OS RICH SQUARE,705,nc_house_of_representatives_district_027
northampton_REHOBE,72,nc_house_of_representatives_district_027
northampton_RICH S,269,nc_house_of_representatives_district_027
northampton_SEABOA,206,nc_house_of_representatives_district_027
northampton_GALATI,187,nc_house_of_representatives_district_027
northampton_PENDLE,101,nc_house_of_representatives_district_027
northampton_NEWTOW,186,nc_house_of_representatives_district_027
northampton_POTECA,61,nc_house_of_representatives_district_027
northampton_JACKSO,120,nc_house_of_representatives_district_027
northampton_GARYSB,404,nc_house_of_representatives_district_027
northampton_OS LAKE GASTON,474,nc_house_of_representatives_district_027
northampton_OS OFFICE,2088,nc_house_of_representatives_district_027
northampton_MILWAU,137,nc_house_of_representatives_district_027
northampton_CREEKS,148,nc_house_of_representatives_district_027
northampton_OS GASTON,897,nc_house_of_representatives_district_027
northampton_LASKER,82,nc_house_of_representatives_district_027
northampton_CONWAY,289,nc_house_of_representatives_district_027
northampton_PLEASA,99,nc_house_of_representatives_district_027
