prec_id,Larry C. Strickland,Patricia Oliver,election
johnston_PR04,387,149,nc_house_of_representatives_district_028
johnston_PR37,878,312,nc_house_of_representatives_district_028
johnston_PR23A,839,290,nc_house_of_representatives_district_028
johnston_PR35,579,239,nc_house_of_representatives_district_028
johnston_PR08,688,112,nc_house_of_representatives_district_028
johnston_PR22,870,220,nc_house_of_representatives_district_028
johnston_PR23B,824,281,nc_house_of_representatives_district_028
johnston_PR13,591,146,nc_house_of_representatives_district_028
johnston_PR26,175,277,nc_house_of_representatives_district_028
johnston_PR38,172,24,nc_house_of_representatives_district_028
johnston_PR33,956,267,nc_house_of_representatives_district_028
johnston_PR36,927,262,nc_house_of_representatives_district_028
johnston_PR07,977,225,nc_house_of_representatives_district_028
johnston_PR14,600,132,nc_house_of_representatives_district_028
johnston_PR31A,365,141,nc_house_of_representatives_district_028
johnston_PR25,314,311,nc_house_of_representatives_district_028
johnston_PR21,707,145,nc_house_of_representatives_district_028
johnston_PR24,259,345,nc_house_of_representatives_district_028
johnston_PR31B,524,187,nc_house_of_representatives_district_028
johnston_PR19,542,166,nc_house_of_representatives_district_028
