prec_id,Larry D. Hall,election
durham_35.3,150,nc_house_of_representatives_district_029
durham_2,95,nc_house_of_representatives_district_029
durham_OS-FRONT,480,nc_house_of_representatives_district_029
durham_55-11,398,nc_house_of_representatives_district_029
durham_42,220,nc_house_of_representatives_district_029
durham_48,73,nc_house_of_representatives_district_029
durham_OS-ERL,505,nc_house_of_representatives_district_029
durham_8,428,nc_house_of_representatives_district_029
durham_OS-NRL,234,nc_house_of_representatives_district_029
durham_53-1,117,nc_house_of_representatives_district_029
durham_54,580,nc_house_of_representatives_district_029
durham_14,252,nc_house_of_representatives_district_029
durham_16,331,nc_house_of_representatives_district_029
durham_OS-BOE,6415,nc_house_of_representatives_district_029
durham_OS-DTC,691,nc_house_of_representatives_district_029
durham_ABSENTEE,1031,nc_house_of_representatives_district_029
durham_39,96,nc_house_of_representatives_district_029
durham_38,230,nc_house_of_representatives_district_029
durham_34-1,343,nc_house_of_representatives_district_029
durham_34-2,408,nc_house_of_representatives_district_029
durham_OS-NJBC,143,nc_house_of_representatives_district_029
durham_OS-DTCN,29,nc_house_of_representatives_district_029
durham_41,287,nc_house_of_representatives_district_029
durham_47,265,nc_house_of_representatives_district_029
durham_7,119,nc_house_of_representatives_district_029
durham_OS-IVY,3059,nc_house_of_representatives_district_029
durham_OS-ENO,4287,nc_house_of_representatives_district_029
durham_10,258,nc_house_of_representatives_district_029
durham_6,75,nc_house_of_representatives_district_029
durham_40,288,nc_house_of_representatives_district_029
durham_9,397,nc_house_of_representatives_district_029
durham_33,85,nc_house_of_representatives_district_029
durham_OS-DUKE,1658,nc_house_of_representatives_district_029
durham_OS-SRL,9480,nc_house_of_representatives_district_029
durham_18,88,nc_house_of_representatives_district_029
durham_13,263,nc_house_of_representatives_district_029
durham_OS-NCCU,2833,nc_house_of_representatives_district_029
durham_55-49,351,nc_house_of_representatives_district_029
durham_17,422,nc_house_of_representatives_district_029
durham_15,266,nc_house_of_representatives_district_029
durham_12,182,nc_house_of_representatives_district_029
durham_36,473,nc_house_of_representatives_district_029
durham_OS-GETG,548,nc_house_of_representatives_district_029
durham_51,394,nc_house_of_representatives_district_029
