prec_id,Perry Whitlock,Rosa U. Gill,election
wake_43853,354,872,nc_house_of_representatives_district_033
wake_43855,2,69,nc_house_of_representatives_district_033
wake_43856,32,523,nc_house_of_representatives_district_033
wake_12785,11,566,nc_house_of_representatives_district_033
wake_43844,14,66,nc_house_of_representatives_district_033
wake_16-03,142,236,nc_house_of_representatives_district_033
wake_16-08,204,1715,nc_house_of_representatives_district_033
wake_16-09,44,158,nc_house_of_representatives_district_033
wake_16-02,298,1177,nc_house_of_representatives_district_033
wake_17-07,46,226,nc_house_of_representatives_district_033
wake_18-01,83,248,nc_house_of_representatives_district_033
wake_ONESTOP,480,7085,nc_house_of_representatives_district_033
wake_43851,338,853,nc_house_of_representatives_district_033
wake_43852,39,1040,nc_house_of_representatives_district_033
wake_18-04,36,48,nc_house_of_representatives_district_033
wake_18264,39,699,nc_house_of_representatives_district_033
wake_17-09,86,971,nc_house_of_representatives_district_033
wake_43857,53,304,nc_house_of_representatives_district_033
wake_43850,35,597,nc_house_of_representatives_district_033
wake_16-01,1,20,nc_house_of_representatives_district_033
wake_16-04,120,205,nc_house_of_representatives_district_033
wake_16-06,67,161,nc_house_of_representatives_district_033
wake_43861,37,234,nc_house_of_representatives_district_033
