prec_id,Rosa U. Gill,election
wake_OSLOB 41-80,627,nc_house_of_representatives_district_033
wake_OSNB 1-40,31,nc_house_of_representatives_district_033
wake_ABSEN 41-80,98,nc_house_of_representatives_district_033
wake_OSWD 41-80,4,nc_house_of_representatives_district_033
wake_OSWA 41-80,20,nc_house_of_representatives_district_033
wake_OSGR 81-91,1,nc_house_of_representatives_district_033
wake_OSAV 81-91,72,nc_house_of_representatives_district_033
wake_OSNR 1-40,32,nc_house_of_representatives_district_033
wake_16-03,247,nc_house_of_representatives_district_033
wake_16-08,1301,nc_house_of_representatives_district_033
wake_17-07,172,nc_house_of_representatives_district_033
wake_43855,154,nc_house_of_representatives_district_033
wake_18-01,288,nc_house_of_representatives_district_033
wake_OSCA 81-91,0,nc_house_of_representatives_district_033
wake_OSLL 81-91,0,nc_house_of_representatives_district_033
wake_PROVI 1-40,230,nc_house_of_representatives_district_033
wake_OSNR 81-91,0,nc_house_of_representatives_district_033
wake_OSTC 1-40,36,nc_house_of_representatives_district_033
wake_TRANS 1-40,0,nc_house_of_representatives_district_033
wake_OSAB 41-80,4,nc_house_of_representatives_district_033
wake_17-09,837,nc_house_of_representatives_district_033
wake_43844,49,nc_house_of_representatives_district_033
wake_PROVI 41-80,22,nc_house_of_representatives_district_033
wake_OSCH 1-40,9119,nc_house_of_representatives_district_033
wake_OSGR 41-80,22,nc_house_of_representatives_district_033
wake_ABSEN 81-91,5,nc_house_of_representatives_district_033
wake_OSAP 81-91,2,nc_house_of_representatives_district_033
wake_18-04,76,nc_house_of_representatives_district_033
wake_43851,930,nc_house_of_representatives_district_033
wake_OSOP 41-80,3,nc_house_of_representatives_district_033
wake_OSCA 41-80,15,nc_house_of_representatives_district_033
wake_OSKD 41-80,4,nc_house_of_representatives_district_033
wake_OSLOB 81-91,15,nc_house_of_representatives_district_033
wake_43852,881,nc_house_of_representatives_district_033
wake_16-04,238,nc_house_of_representatives_district_033
wake_16-01,10,nc_house_of_representatives_district_033
wake_OSFB 41-80,5,nc_house_of_representatives_district_033
wake_OSNB 41-80,2,nc_house_of_representatives_district_033
wake_OSZB 1-40,98,nc_house_of_representatives_district_033
wake_OSAP 41-80,9,nc_house_of_representatives_district_033
wake_OSAP 1-40,92,nc_house_of_representatives_district_033
wake_43857,330,nc_house_of_representatives_district_033
wake_43861,238,nc_house_of_representatives_district_033
wake_OSLL 1-40,134,nc_house_of_representatives_district_033
wake_OSFV 81-91,0,nc_house_of_representatives_district_033
wake_OSAV 41-80,533,nc_house_of_representatives_district_033
wake_OSCB 81-91,8,nc_house_of_representatives_district_033
wake_OSCB 1-40,2450,nc_house_of_representatives_district_033
wake_OSTC 81-91,0,nc_house_of_representatives_district_033
wake_OSOP 81-91,0,nc_house_of_representatives_district_033
wake_OSTC 41-80,5,nc_house_of_representatives_district_033
wake_OSNR 41-80,3,nc_house_of_representatives_district_033
wake_16-09,93,nc_house_of_representatives_district_033
wake_ABSEN 1-40,614,nc_house_of_representatives_district_033
wake_43850,612,nc_house_of_representatives_district_033
wake_OSZB 41-80,8,nc_house_of_representatives_district_033
wake_TRANS 81-91,0,nc_house_of_representatives_district_033
wake_43856,639,nc_house_of_representatives_district_033
wake_43853,1369,nc_house_of_representatives_district_033
wake_12785,519,nc_house_of_representatives_district_033
wake_OSLOB 1-40,1637,nc_house_of_representatives_district_033
wake_OSWA 1-40,202,nc_house_of_representatives_district_033
wake_OSWA 81-91,17,nc_house_of_representatives_district_033
wake_OSCB 41-80,43,nc_house_of_representatives_district_033
wake_OSZB 81-91,2,nc_house_of_representatives_district_033
wake_TRANS 41-80,0,nc_house_of_representatives_district_033
wake_OSHS 81-91,1,nc_house_of_representatives_district_033
wake_OSKD 81-91,0,nc_house_of_representatives_district_033
wake_OSCA 1-40,255,nc_house_of_representatives_district_033
wake_OSFV 1-40,20,nc_house_of_representatives_district_033
wake_OSWD 81-91,0,nc_house_of_representatives_district_033
wake_16-06,186,nc_house_of_representatives_district_033
wake_OSWD 1-40,83,nc_house_of_representatives_district_033
wake_OSCH 81-91,27,nc_house_of_representatives_district_033
wake_OSAB 1-40,44,nc_house_of_representatives_district_033
wake_OSHS 41-80,6,nc_house_of_representatives_district_033
wake_PROVI 81-91,5,nc_house_of_representatives_district_033
wake_OSKD 1-40,299,nc_house_of_representatives_district_033
wake_OSGR 1-40,392,nc_house_of_representatives_district_033
wake_OSFV 41-80,2,nc_house_of_representatives_district_033
wake_OSCH 41-80,686,nc_house_of_representatives_district_033
wake_OSAB 81-91,2,nc_house_of_representatives_district_033
wake_OSHS 1-40,19,nc_house_of_representatives_district_033
wake_OSLL 41-80,7,nc_house_of_representatives_district_033
wake_OSOP 1-40,108,nc_house_of_representatives_district_033
wake_16-02,931,nc_house_of_representatives_district_033
wake_18264,587,nc_house_of_representatives_district_033
wake_OSFB 1-40,57,nc_house_of_representatives_district_033
wake_OSFB 81-91,0,nc_house_of_representatives_district_033
wake_OSAV 1-40,4170,nc_house_of_representatives_district_033
wake_OSNB 81-91,0,nc_house_of_representatives_district_033
