prec_id,Grier Martin,election
wake_43858,84,nc_house_of_representatives_district_034
wake_43844,904,nc_house_of_representatives_district_034
wake_43848,766,nc_house_of_representatives_district_034
wake_16072,615,nc_house_of_representatives_district_034
wake_16803,60,nc_house_of_representatives_district_034
wake_ONESTOP,6308,nc_house_of_representatives_district_034
wake_15707,524,nc_house_of_representatives_district_034
wake_43857,224,nc_house_of_representatives_district_034
wake_13881,581,nc_house_of_representatives_district_034
wake_43843,421,nc_house_of_representatives_district_034
wake_43835,373,nc_house_of_representatives_district_034
wake_43842,516,nc_house_of_representatives_district_034
wake_16438,428,nc_house_of_representatives_district_034
wake_44016,1004,nc_house_of_representatives_district_034
wake_13516,545,nc_house_of_representatives_district_034
wake_14246,531,nc_house_of_representatives_district_034
wake_44045,252,nc_house_of_representatives_district_034
wake_44053,387,nc_house_of_representatives_district_034
wake_18629,352,nc_house_of_representatives_district_034
wake_43840,610,nc_house_of_representatives_district_034
wake_01-07A,122,nc_house_of_representatives_district_034
wake_44049,427,nc_house_of_representatives_district_034
wake_43831,622,nc_house_of_representatives_district_034
wake_43837,571,nc_house_of_representatives_district_034
wake_44022,487,nc_house_of_representatives_district_034
wake_12055,530,nc_house_of_representatives_district_034
wake_43832,660,nc_house_of_representatives_district_034
wake_44013,456,nc_house_of_representatives_district_034
wake_43926,123,nc_house_of_representatives_district_034
wake_44136,454,nc_house_of_representatives_district_034
wake_43836,757,nc_house_of_representatives_district_034
wake_43846,770,nc_house_of_representatives_district_034
wake_43839,502,nc_house_of_representatives_district_034
