prec_id,Chris Malone,Terence Everitt,election
wake_OSLOB 41-80,36,65,nc_house_of_representatives_district_035
wake_OSNB 1-40,3403,2490,nc_house_of_representatives_district_035
wake_ABSEN 41-80,136,115,nc_house_of_representatives_district_035
wake_19-04,1150,642,nc_house_of_representatives_district_035
wake_OSWD 41-80,302,324,nc_house_of_representatives_district_035
wake_OSWA 41-80,1,2,nc_house_of_representatives_district_035
wake_OSGR 81-91,2,7,nc_house_of_representatives_district_035
wake_OSAV 81-91,2,0,nc_house_of_representatives_district_035
wake_OSNR 1-40,4860,5845,nc_house_of_representatives_district_035
wake_17-04,109,85,nc_house_of_representatives_district_035
wake_13-06,143,104,nc_house_of_representatives_district_035
wake_OSCA 81-91,0,0,nc_house_of_representatives_district_035
wake_OSLL 81-91,0,0,nc_house_of_representatives_district_035
wake_PROVI 1-40,131,115,nc_house_of_representatives_district_035
wake_OSNR 81-91,19,6,nc_house_of_representatives_district_035
wake_OSTC 1-40,42,53,nc_house_of_representatives_district_035
wake_TRANS 1-40,0,0,nc_house_of_representatives_district_035
wake_44106,434,383,nc_house_of_representatives_district_035
wake_OSAB 41-80,187,253,nc_house_of_representatives_district_035
wake_PROVI 41-80,19,17,nc_house_of_representatives_district_035
wake_OSCH 1-40,28,185,nc_house_of_representatives_district_035
wake_OSGR 41-80,32,92,nc_house_of_representatives_district_035
wake_ABSEN 81-91,7,6,nc_house_of_representatives_district_035
wake_OSAP 81-91,0,0,nc_house_of_representatives_district_035
wake_19-07,512,361,nc_house_of_representatives_district_035
wake_19-15,454,282,nc_house_of_representatives_district_035
wake_OSOP 41-80,16,21,nc_house_of_representatives_district_035
wake_OSCA 41-80,7,6,nc_house_of_representatives_district_035
wake_OSKD 41-80,345,450,nc_house_of_representatives_district_035
wake_OSLOB 81-91,1,0,nc_house_of_representatives_district_035
wake_17-02,170,122,nc_house_of_representatives_district_035
wake_19-12,785,482,nc_house_of_representatives_district_035
wake_OSFB 41-80,0,5,nc_house_of_representatives_district_035
wake_OSNB 41-80,299,283,nc_house_of_representatives_district_035
wake_OSZB 1-40,1756,1276,nc_house_of_representatives_district_035
wake_OSAP 41-80,1,2,nc_house_of_representatives_district_035
wake_OSAP 1-40,17,12,nc_house_of_representatives_district_035
wake_13-10,904,686,nc_house_of_representatives_district_035
wake_OSLL 1-40,82,159,nc_house_of_representatives_district_035
wake_OSFV 81-91,0,0,nc_house_of_representatives_district_035
wake_OSAV 41-80,10,10,nc_house_of_representatives_district_035
wake_OSCB 81-91,3,0,nc_house_of_representatives_district_035
wake_OSCB 1-40,52,73,nc_house_of_representatives_district_035
wake_OSTC 81-91,0,0,nc_house_of_representatives_district_035
wake_OSOP 81-91,0,1,nc_house_of_representatives_district_035
wake_OSTC 41-80,3,4,nc_house_of_representatives_district_035
wake_OSNR 41-80,75,155,nc_house_of_representatives_district_035
wake_ABSEN 1-40,1229,911,nc_house_of_representatives_district_035
wake_19-14,510,290,nc_house_of_representatives_district_035
wake_19-11,529,307,nc_house_of_representatives_district_035
wake_OSZB 41-80,225,576,nc_house_of_representatives_district_035
wake_TRANS 81-91,0,0,nc_house_of_representatives_district_035
wake_OSLOB 1-40,182,245,nc_house_of_representatives_district_035
wake_OSWA 1-40,11,18,nc_house_of_representatives_district_035
wake_OSWA 81-91,0,0,nc_house_of_representatives_district_035
wake_OSCB 41-80,4,11,nc_house_of_representatives_district_035
wake_OSZB 81-91,2,0,nc_house_of_representatives_district_035
wake_TRANS 41-80,0,0,nc_house_of_representatives_district_035
wake_OSHS 81-91,0,0,nc_house_of_representatives_district_035
wake_OSKD 81-91,0,0,nc_house_of_representatives_district_035
wake_OSCA 1-40,24,42,nc_house_of_representatives_district_035
wake_OSFV 1-40,5,6,nc_house_of_representatives_district_035
wake_OSWD 81-91,0,0,nc_house_of_representatives_district_035
wake_OSWD 1-40,610,321,nc_house_of_representatives_district_035
wake_OSCH 81-91,0,1,nc_house_of_representatives_district_035
wake_OSAB 1-40,1316,1579,nc_house_of_representatives_district_035
wake_OSHS 41-80,0,2,nc_house_of_representatives_district_035
wake_PROVI 81-91,1,0,nc_house_of_representatives_district_035
wake_OSKD 1-40,128,115,nc_house_of_representatives_district_035
wake_OSGR 1-40,98,203,nc_house_of_representatives_district_035
wake_OSFV 41-80,0,1,nc_house_of_representatives_district_035
wake_19-09,576,298,nc_house_of_representatives_district_035
wake_44075,491,243,nc_house_of_representatives_district_035
wake_19-13,338,292,nc_house_of_representatives_district_035
wake_19-16,428,296,nc_house_of_representatives_district_035
wake_OSCH 41-80,4,117,nc_house_of_representatives_district_035
wake_OSAB 81-91,4,1,nc_house_of_representatives_district_035
wake_OSHS 1-40,1,3,nc_house_of_representatives_district_035
wake_OSLL 41-80,16,44,nc_house_of_representatives_district_035
wake_OSOP 1-40,130,113,nc_house_of_representatives_district_035
wake_19-10,1120,618,nc_house_of_representatives_district_035
wake_44105,232,105,nc_house_of_representatives_district_035
wake_44077,279,138,nc_house_of_representatives_district_035
wake_OSFB 1-40,19,26,nc_house_of_representatives_district_035
wake_OSFB 81-91,0,0,nc_house_of_representatives_district_035
wake_OSAV 1-40,20,39,nc_house_of_representatives_district_035
wake_OSNB 81-91,50,5,nc_house_of_representatives_district_035
