prec_id,Nelson Dollar,Brian Irving,Jennifer Ferrell,election
wake_43927,479,48,426,nc_house_of_representatives_district_036
wake_44170,1111,93,522,nc_house_of_representatives_district_036
wake_OSLOB 41-80,73,7,167,nc_house_of_representatives_district_036
wake_OSNB 1-40,0,0,1,nc_house_of_representatives_district_036
wake_ABSEN 41-80,510,38,473,nc_house_of_representatives_district_036
wake_OSWD 41-80,2,0,1,nc_house_of_representatives_district_036
wake_OSWA 41-80,998,84,800,nc_house_of_representatives_district_036
wake_OSNR 1-40,0,0,10,nc_house_of_representatives_district_036
wake_43933,467,56,383,nc_house_of_representatives_district_036
wake_18-07,627,55,290,nc_house_of_representatives_district_036
wake_PROVI 1-40,75,11,62,nc_house_of_representatives_district_036
wake_OSTC 1-40,27,4,26,nc_house_of_representatives_district_036
wake_TRANS 1-40,0,0,0,nc_house_of_representatives_district_036
wake_43989,592,66,456,nc_house_of_representatives_district_036
wake_OSAB 41-80,3,0,1,nc_house_of_representatives_district_036
wake_PROVI 41-80,31,6,32,nc_house_of_representatives_district_036
wake_OSCH 1-40,22,2,129,nc_house_of_representatives_district_036
wake_OSGR 41-80,17,3,16,nc_house_of_representatives_district_036
wake_18-04,510,28,272,nc_house_of_representatives_district_036
wake_18-05,892,48,484,nc_house_of_representatives_district_036
wake_20-01,472,76,402,nc_house_of_representatives_district_036
wake_15-02,533,61,350,nc_house_of_representatives_district_036
wake_44172,487,74,250,nc_house_of_representatives_district_036
wake_OSOP 41-80,15,1,18,nc_house_of_representatives_district_036
wake_OSCA 41-80,1211,97,1989,nc_house_of_representatives_district_036
wake_OSKD 41-80,2,1,5,nc_house_of_representatives_district_036
wake_OSFB 41-80,49,9,61,nc_house_of_representatives_district_036
wake_OSNB 41-80,1,1,1,nc_house_of_representatives_district_036
wake_OSZB 1-40,9,1,4,nc_house_of_representatives_district_036
wake_OSAP 41-80,489,33,501,nc_house_of_representatives_district_036
wake_OSAP 1-40,3336,244,3991,nc_house_of_representatives_district_036
wake_18-08,491,35,353,nc_house_of_representatives_district_036
wake_20-09,527,45,299,nc_house_of_representatives_district_036
wake_18-03,481,37,370,nc_house_of_representatives_district_036
wake_43931,497,87,435,nc_house_of_representatives_district_036
wake_OSLL 1-40,22,4,28,nc_house_of_representatives_district_036
wake_OSAV 41-80,371,25,398,nc_house_of_representatives_district_036
wake_OSCB 1-40,133,10,242,nc_house_of_representatives_district_036
wake_OSTC 41-80,8,2,10,nc_house_of_representatives_district_036
wake_18-02,995,77,417,nc_house_of_representatives_district_036
wake_OSNR 41-80,3,0,4,nc_house_of_representatives_district_036
wake_43928,665,33,360,nc_house_of_representatives_district_036
wake_43935,310,61,289,nc_house_of_representatives_district_036
wake_ABSEN 1-40,1194,94,1150,nc_house_of_representatives_district_036
wake_OSZB 41-80,2,1,4,nc_house_of_representatives_district_036
wake_OSLOB 1-40,194,22,281,nc_house_of_representatives_district_036
wake_OSWA 1-40,1084,74,771,nc_house_of_representatives_district_036
wake_OSCB 41-80,63,9,119,nc_house_of_representatives_district_036
wake_TRANS 41-80,0,0,0,nc_house_of_representatives_district_036
wake_OSCA 1-40,1966,155,3127,nc_house_of_representatives_district_036
wake_OSFV 1-40,352,11,173,nc_house_of_representatives_district_036
wake_43940,230,38,198,nc_house_of_representatives_district_036
wake_OSWD 1-40,4,1,4,nc_house_of_representatives_district_036
wake_43937,332,49,356,nc_house_of_representatives_district_036
wake_20-05,672,39,378,nc_house_of_representatives_district_036
wake_OSAB 1-40,3,0,8,nc_house_of_representatives_district_036
wake_OSHS 41-80,39,4,72,nc_house_of_representatives_district_036
wake_OSKD 1-40,6,0,1,nc_house_of_representatives_district_036
wake_OSGR 1-40,19,2,20,nc_house_of_representatives_district_036
wake_OSFV 41-80,160,15,95,nc_house_of_representatives_district_036
wake_OSCH 41-80,23,3,145,nc_house_of_representatives_district_036
wake_OSHS 1-40,1156,92,1420,nc_house_of_representatives_district_036
wake_OSLL 41-80,9,1,18,nc_house_of_representatives_district_036
wake_OSOP 1-40,27,0,29,nc_house_of_representatives_district_036
wake_OSFB 1-40,95,7,90,nc_house_of_representatives_district_036
wake_OSAV 1-40,122,4,88,nc_house_of_representatives_district_036
