prec_id,Paul Stam,election
wake_ONESTOP,4152,nc_house_of_representatives_district_037
wake_44174,960,nc_house_of_representatives_district_037
wake_43992,662,nc_house_of_representatives_district_037
wake_43988,1159,nc_house_of_representatives_district_037
wake_43987,995,nc_house_of_representatives_district_037
wake_44173,878,nc_house_of_representatives_district_037
wake_20-03,761,nc_house_of_representatives_district_037
wake_43986,657,nc_house_of_representatives_district_037
wake_43991,1101,nc_house_of_representatives_district_037
wake_20-08,778,nc_house_of_representatives_district_037
wake_36586,64,nc_house_of_representatives_district_037
wake_20-06A,503,nc_house_of_representatives_district_037
wake_44166,1431,nc_house_of_representatives_district_037
wake_44171,894,nc_house_of_representatives_district_037
wake_44167,1075,nc_house_of_representatives_district_037
wake_43990,546,nc_house_of_representatives_district_037
wake_15-03,1347,nc_house_of_representatives_district_037
wake_44169,1107,nc_house_of_representatives_district_037
wake_15-01,969,nc_house_of_representatives_district_037
