prec_id,Darren Jackson,election
wake_OSLOB 41-80,329,nc_house_of_representatives_district_039
wake_OSNB 1-40,47,nc_house_of_representatives_district_039
wake_ABSEN 41-80,282,nc_house_of_representatives_district_039
wake_OSWD 41-80,661,nc_house_of_representatives_district_039
wake_OSWA 41-80,242,nc_house_of_representatives_district_039
wake_OSGR 81-91,0,nc_house_of_representatives_district_039
wake_OSAV 81-91,23,nc_house_of_representatives_district_039
wake_OSNR 1-40,42,nc_house_of_representatives_district_039
wake_16-03,145,nc_house_of_representatives_district_039
wake_16-08,42,nc_house_of_representatives_district_039
wake_16-05,468,nc_house_of_representatives_district_039
wake_17-04,640,nc_house_of_representatives_district_039
wake_44107,413,nc_house_of_representatives_district_039
wake_17-05,16,nc_house_of_representatives_district_039
wake_OSCA 81-91,0,nc_house_of_representatives_district_039
wake_OSLL 81-91,0,nc_house_of_representatives_district_039
wake_PROVI 1-40,134,nc_house_of_representatives_district_039
wake_OSNR 81-91,0,nc_house_of_representatives_district_039
wake_OSTC 1-40,36,nc_house_of_representatives_district_039
wake_TRANS 1-40,0,nc_house_of_representatives_district_039
wake_OSAB 41-80,540,nc_house_of_representatives_district_039
wake_17-06,429,nc_house_of_representatives_district_039
wake_PROVI 41-80,53,nc_house_of_representatives_district_039
wake_OSCH 1-40,1184,nc_house_of_representatives_district_039
wake_OSGR 41-80,685,nc_house_of_representatives_district_039
wake_ABSEN 81-91,1,nc_house_of_representatives_district_039
wake_OSAP 81-91,0,nc_house_of_representatives_district_039
wake_15-02,413,nc_house_of_representatives_district_039
wake_OSOP 41-80,90,nc_house_of_representatives_district_039
wake_OSCA 41-80,47,nc_house_of_representatives_district_039
wake_OSKD 41-80,2123,nc_house_of_representatives_district_039
wake_OSLOB 81-91,0,nc_house_of_representatives_district_039
wake_17-08,885,nc_house_of_representatives_district_039
wake_16-04,229,nc_house_of_representatives_district_039
wake_44076,493,nc_house_of_representatives_district_039
wake_15-04,383,nc_house_of_representatives_district_039
wake_16-01,472,nc_house_of_representatives_district_039
wake_15-01,119,nc_house_of_representatives_district_039
wake_OSFB 41-80,17,nc_house_of_representatives_district_039
wake_OSNB 41-80,597,nc_house_of_representatives_district_039
wake_OSZB 1-40,2149,nc_house_of_representatives_district_039
wake_OSAP 41-80,29,nc_house_of_representatives_district_039
wake_OSAP 1-40,43,nc_house_of_representatives_district_039
wake_44108,947,nc_house_of_representatives_district_039
wake_13-01,260,nc_house_of_representatives_district_039
wake_19-17,871,nc_house_of_representatives_district_039
wake_17-03,677,nc_house_of_representatives_district_039
wake_OSLL 1-40,115,nc_house_of_representatives_district_039
wake_OSFV 81-91,0,nc_house_of_representatives_district_039
wake_OSAV 41-80,330,nc_house_of_representatives_district_039
wake_OSCB 81-91,0,nc_house_of_representatives_district_039
wake_OSCB 1-40,87,nc_house_of_representatives_district_039
wake_OSTC 81-91,0,nc_house_of_representatives_district_039
wake_OSOP 81-91,0,nc_house_of_representatives_district_039
wake_OSTC 41-80,17,nc_house_of_representatives_district_039
wake_17-11,170,nc_house_of_representatives_district_039
wake_OSNR 41-80,404,nc_house_of_representatives_district_039
wake_16-09,483,nc_house_of_representatives_district_039
wake_ABSEN 1-40,760,nc_house_of_representatives_district_039
wake_OSZB 41-80,523,nc_house_of_representatives_district_039
wake_TRANS 81-91,0,nc_house_of_representatives_district_039
wake_OSLOB 1-40,510,nc_house_of_representatives_district_039
wake_OSWA 1-40,299,nc_house_of_representatives_district_039
wake_OSWA 81-91,0,nc_house_of_representatives_district_039
wake_OSCB 41-80,44,nc_house_of_representatives_district_039
wake_OSZB 81-91,0,nc_house_of_representatives_district_039
wake_TRANS 41-80,0,nc_house_of_representatives_district_039
wake_OSHS 81-91,0,nc_house_of_representatives_district_039
wake_OSKD 81-91,0,nc_house_of_representatives_district_039
wake_OSCA 1-40,87,nc_house_of_representatives_district_039
wake_OSFV 1-40,13,nc_house_of_representatives_district_039
wake_OSWD 81-91,0,nc_house_of_representatives_district_039
wake_16-06,134,nc_house_of_representatives_district_039
wake_OSWD 1-40,1556,nc_house_of_representatives_district_039
wake_OSCH 81-91,5,nc_house_of_representatives_district_039
wake_OSAB 1-40,71,nc_house_of_representatives_district_039
wake_OSHS 41-80,10,nc_house_of_representatives_district_039
wake_PROVI 81-91,0,nc_house_of_representatives_district_039
wake_OSKD 1-40,2169,nc_house_of_representatives_district_039
wake_OSGR 1-40,652,nc_house_of_representatives_district_039
wake_OSFV 41-80,6,nc_house_of_representatives_district_039
wake_OSCH 41-80,609,nc_house_of_representatives_district_039
wake_OSAB 81-91,0,nc_house_of_representatives_district_039
wake_OSHS 1-40,15,nc_house_of_representatives_district_039
wake_OSLL 41-80,152,nc_house_of_representatives_district_039
wake_OSOP 1-40,68,nc_house_of_representatives_district_039
wake_16-07,647,nc_house_of_representatives_district_039
wake_OSFB 1-40,28,nc_house_of_representatives_district_039
wake_OSFB 81-91,0,nc_house_of_representatives_district_039
wake_OSAV 1-40,4681,nc_house_of_representatives_district_039
wake_OSNB 81-91,0,nc_house_of_representatives_district_039
