prec_id,Joe John,Marilyn Avila,election
wake_OSNB 1-40,158,323,nc_house_of_representatives_district_040
wake_OSNR 1-40,1804,2465,nc_house_of_representatives_district_040
wake_44022,287,281,nc_house_of_representatives_district_040
wake_PROVI 1-40,102,102,nc_house_of_representatives_district_040
wake_OSTC 1-40,2799,2057,nc_house_of_representatives_district_040
wake_TRANS 1-40,0,0,nc_house_of_representatives_district_040
wake_44054,639,612,nc_house_of_representatives_district_040
wake_43959,403,278,nc_house_of_representatives_district_040
wake_43864,272,644,nc_house_of_representatives_district_040
wake_OSCH 1-40,161,23,nc_house_of_representatives_district_040
wake_19-15,3,3,nc_house_of_representatives_district_040
wake_14-01,119,286,nc_house_of_representatives_district_040
wake_44046,568,655,nc_house_of_representatives_district_040
wake_43958,436,370,nc_house_of_representatives_district_040
wake_OSZB 1-40,63,102,nc_house_of_representatives_district_040
wake_OSAP 1-40,129,59,nc_house_of_representatives_district_040
wake_44053,105,162,nc_house_of_representatives_district_040
wake_OSLL 1-40,5336,3207,nc_house_of_representatives_district_040
wake_OSCB 1-40,179,105,nc_house_of_representatives_district_040
wake_19-05,269,829,nc_house_of_representatives_district_040
wake_ABSEN 1-40,1491,1527,nc_house_of_representatives_district_040
wake_OSLOB 1-40,357,200,nc_house_of_representatives_district_040
wake_OSWA 1-40,36,19,nc_house_of_representatives_district_040
wake_OSCA 1-40,653,201,nc_house_of_representatives_district_040
wake_OSFV 1-40,3,11,nc_house_of_representatives_district_040
wake_44051,488,717,nc_house_of_representatives_district_040
wake_14-02,642,1470,nc_house_of_representatives_district_040
wake_43865,238,558,nc_house_of_representatives_district_040
wake_OSWD 1-40,14,23,nc_house_of_representatives_district_040
wake_19-03,359,643,nc_house_of_representatives_district_040
wake_OSAB 1-40,737,1100,nc_house_of_representatives_district_040
wake_OSKD 1-40,18,20,nc_house_of_representatives_district_040
wake_OSGR 1-40,114,67,nc_house_of_representatives_district_040
wake_43956,900,775,nc_house_of_representatives_district_040
wake_44047,271,447,nc_house_of_representatives_district_040
wake_44045,326,436,nc_house_of_representatives_district_040
wake_43863,611,1126,nc_house_of_representatives_district_040
wake_OSHS 1-40,5,11,nc_house_of_representatives_district_040
wake_OSOP 1-40,372,511,nc_house_of_representatives_district_040
wake_OSFB 1-40,2283,958,nc_house_of_representatives_district_040
wake_OSAV 1-40,36,19,nc_house_of_representatives_district_040
