prec_id,Richard Button,Rick Glazier,election
cumberland_G3B,154,191,nc_house_of_representatives_district_044
cumberland_MR02,167,234,nc_house_of_representatives_district_044
cumberland_CC03,27,25,nc_house_of_representatives_district_044
cumberland_CC14,678,547,nc_house_of_representatives_district_044
cumberland_ONESTOP,114,166,nc_house_of_representatives_district_044
cumberland_CC12,573,420,nc_house_of_representatives_district_044
cumberland_CC31,244,292,nc_house_of_representatives_district_044
cumberland_CC34,510,430,nc_house_of_representatives_district_044
cumberland_CC15,661,643,nc_house_of_representatives_district_044
cumberland_G3C,222,166,nc_house_of_representatives_district_044
cumberland_CC18,466,346,nc_house_of_representatives_district_044
cumberland_G8C,307,485,nc_house_of_representatives_district_044
cumberland_CC27,87,140,nc_house_of_representatives_district_044
cumberland_G8A,241,379,nc_house_of_representatives_district_044
cumberland_CC04,166,247,nc_house_of_representatives_district_044
cumberland_CC07,266,248,nc_house_of_representatives_district_044
cumberland_CC25,225,295,nc_house_of_representatives_district_044
cumberland_CC26,212,311,nc_house_of_representatives_district_044
cumberland_G4C,169,394,nc_house_of_representatives_district_044
cumberland_CC32,24,27,nc_house_of_representatives_district_044
cumberland_AH49,62,86,nc_house_of_representatives_district_044
cumberland_CC10,205,285,nc_house_of_representatives_district_044
cumberland_G8B,327,411,nc_house_of_representatives_district_044
cumberland_G8D,531,468,nc_house_of_representatives_district_044
cumberland_G3A-1,7,11,nc_house_of_representatives_district_044
cumberland_G3A-2,288,413,nc_house_of_representatives_district_044
cumberland_CC24,182,262,nc_house_of_representatives_district_044
cumberland_CC29,150,199,nc_house_of_representatives_district_044
cumberland_G4A,261,338,nc_house_of_representatives_district_044
cumberland_G4B,373,345,nc_house_of_representatives_district_044
cumberland_CC08,394,280,nc_house_of_representatives_district_044
cumberland_G10A,117,132,nc_house_of_representatives_district_044
cumberland_CC06,228,208,nc_house_of_representatives_district_044
cumberland_CU02,339,441,nc_house_of_representatives_district_044
cumberland_G5B-1,28,119,nc_house_of_representatives_district_044
