prec_id,Jim Arp,William (Billy) Richardson,election
cumberland_ABSENTEE 31-57,89,50,nc_house_of_representatives_district_044
cumberland_G4C,322,716,nc_house_of_representatives_district_044
cumberland_G8A,488,684,nc_house_of_representatives_district_044
cumberland_AH49,129,198,nc_house_of_representatives_district_044
cumberland_CC12,780,390,nc_house_of_representatives_district_044
cumberland_CC27,169,271,nc_house_of_representatives_district_044
cumberland_CC03,57,48,nc_house_of_representatives_district_044
cumberland_G8C,546,761,nc_house_of_representatives_district_044
cumberland_CC07,415,286,nc_house_of_representatives_district_044
cumberland_CC04,281,266,nc_house_of_representatives_district_044
cumberland_G8D,926,779,nc_house_of_representatives_district_044
cumberland_CC31,378,439,nc_house_of_representatives_district_044
cumberland_CC34,758,584,nc_house_of_representatives_district_044
cumberland_G8B,625,690,nc_house_of_representatives_district_044
cumberland_CC15,970,754,nc_house_of_representatives_district_044
cumberland_CC18,654,374,nc_house_of_representatives_district_044
cumberland_G4B,617,505,nc_house_of_representatives_district_044
cumberland_CC14,997,658,nc_house_of_representatives_district_044
cumberland_G5B-1,63,240,nc_house_of_representatives_district_044
cumberland_CC06,351,266,nc_house_of_representatives_district_044
cumberland_CC24,310,482,nc_house_of_representatives_district_044
cumberland_CC29,234,288,nc_house_of_representatives_district_044
cumberland_MR02,302,403,nc_house_of_representatives_district_044
cumberland_G4A,392,480,nc_house_of_representatives_district_044
cumberland_CU02,519,648,nc_house_of_representatives_district_044
cumberland_CC08,479,270,nc_house_of_representatives_district_044
cumberland_ABSENTEE 1-30,412,350,nc_house_of_representatives_district_044
cumberland_CC10,309,399,nc_house_of_representatives_district_044
cumberland_G10A,183,220,nc_house_of_representatives_district_044
cumberland_CC32,32,65,nc_house_of_representatives_district_044
cumberland_CC25,370,435,nc_house_of_representatives_district_044
cumberland_CC26,365,502,nc_house_of_representatives_district_044
cumberland_G3B,235,323,nc_house_of_representatives_district_044
cumberland_G3A-2,543,820,nc_house_of_representatives_district_044
cumberland_G3C,342,214,nc_house_of_representatives_district_044
cumberland_G3A-1,16,17,nc_house_of_representatives_district_044
