prec_id,John Szoka,election
cumberland_G9B-1,795,nc_house_of_representatives_district_045
cumberland_G6A,1298,nc_house_of_representatives_district_045
cumberland_G2C-2,8,nc_house_of_representatives_district_045
cumberland_EO61-1,369,nc_house_of_representatives_district_045
cumberland_G11A-2,108,nc_house_of_representatives_district_045
cumberland_G1B,58,nc_house_of_representatives_district_045
cumberland_ONESTOP,114,nc_house_of_representatives_district_045
cumberland_G7A,451,nc_house_of_representatives_district_045
cumberland_SH77,800,nc_house_of_representatives_district_045
cumberland_G2E-1,56,nc_house_of_representatives_district_045
cumberland_G10C,940,nc_house_of_representatives_district_045
cumberland_G10B,587,nc_house_of_representatives_district_045
cumberland_G3C,14,nc_house_of_representatives_district_045
cumberland_G6C,485,nc_house_of_representatives_district_045
cumberland_G9B-2,845,nc_house_of_representatives_district_045
cumberland_AL51,1386,nc_house_of_representatives_district_045
cumberland_G2D,707,nc_house_of_representatives_district_045
cumberland_LI65,966,nc_house_of_representatives_district_045
cumberland_G11A-1,70,nc_house_of_representatives_district_045
cumberland_G11B,144,nc_house_of_representatives_district_045
cumberland_G6B,371,nc_house_of_representatives_district_045
cumberland_EO61-2,106,nc_house_of_representatives_district_045
cumberland_G10A,1070,nc_house_of_representatives_district_045
cumberland_G9A,416,nc_house_of_representatives_district_045
cumberland_G7B,403,nc_house_of_representatives_district_045
