prec_id,Charles Graham,election
robeson_15,50,nc_house_of_representatives_district_047
robeson_41,1,nc_house_of_representatives_district_047
robeson_25,277,nc_house_of_representatives_district_047
robeson_28,208,nc_house_of_representatives_district_047
robeson_4,405,nc_house_of_representatives_district_047
robeson_7,114,nc_house_of_representatives_district_047
robeson_05A,96,nc_house_of_representatives_district_047
robeson_1,187,nc_house_of_representatives_district_047
robeson_20,265,nc_house_of_representatives_district_047
robeson_38,97,nc_house_of_representatives_district_047
robeson_39,327,nc_house_of_representatives_district_047
robeson_14,198,nc_house_of_representatives_district_047
robeson_19,160,nc_house_of_representatives_district_047
robeson_34,237,nc_house_of_representatives_district_047
robeson_35,483,nc_house_of_representatives_district_047
robeson_22,508,nc_house_of_representatives_district_047
robeson_29,74,nc_house_of_representatives_district_047
robeson_ONESTOP,2177,nc_house_of_representatives_district_047
robeson_11,108,nc_house_of_representatives_district_047
robeson_36,173,nc_house_of_representatives_district_047
robeson_12,298,nc_house_of_representatives_district_047
robeson_9,257,nc_house_of_representatives_district_047
robeson_10,91,nc_house_of_representatives_district_047
robeson_40,149,nc_house_of_representatives_district_047
robeson_32A,324,nc_house_of_representatives_district_047
robeson_18A,243,nc_house_of_representatives_district_047
robeson_23,584,nc_house_of_representatives_district_047
robeson_24,175,nc_house_of_representatives_district_047
robeson_3,0,nc_house_of_representatives_district_047
robeson_33,111,nc_house_of_representatives_district_047
robeson_30,400,nc_house_of_representatives_district_047
robeson_11A,268,nc_house_of_representatives_district_047
robeson_13,342,nc_house_of_representatives_district_047
robeson_26A,106,nc_house_of_representatives_district_047
robeson_2,302,nc_house_of_representatives_district_047
