prec_id,Garland E. Pierce,election
hoke_61,775,nc_house_of_representatives_district_048
hoke_3,420,nc_house_of_representatives_district_048
hoke_4,226,nc_house_of_representatives_district_048
hoke_1,182,nc_house_of_representatives_district_048
hoke_5,392,nc_house_of_representatives_district_048
hoke_2,551,nc_house_of_representatives_district_048
hoke_62,424,nc_house_of_representatives_district_048
hoke_63,1452,nc_house_of_representatives_district_048
hoke_13,32,nc_house_of_representatives_district_048
hoke_64,932,nc_house_of_representatives_district_048
hoke_65,474,nc_house_of_representatives_district_048
richmond_10,148,nc_house_of_representatives_district_048
richmond_11,78,nc_house_of_representatives_district_048
richmond_ABSENTEE,80,nc_house_of_representatives_district_048
richmond_9,352,nc_house_of_representatives_district_048
richmond_2,23,nc_house_of_representatives_district_048
richmond_8,527,nc_house_of_representatives_district_048
richmond_5,9,nc_house_of_representatives_district_048
richmond_1,445,nc_house_of_representatives_district_048
richmond_12,141,nc_house_of_representatives_district_048
richmond_4,97,nc_house_of_representatives_district_048
richmond_7,150,nc_house_of_representatives_district_048
robeson_29,442,nc_house_of_representatives_district_048
robeson_OS PEMBROKE,21,nc_house_of_representatives_district_048
robeson_OS FAIRMONT,520,nc_house_of_representatives_district_048
robeson_2,135,nc_house_of_representatives_district_048
robeson_19,546,nc_house_of_representatives_district_048
robeson_OS MAXTON,568,nc_house_of_representatives_district_048
robeson_OS ST PAULS,4,nc_house_of_representatives_district_048
robeson_OS RED SPRINGS,685,nc_house_of_representatives_district_048
robeson_38,0,nc_house_of_representatives_district_048
robeson_16,232,nc_house_of_representatives_district_048
robeson_1,25,nc_house_of_representatives_district_048
robeson_7,111,nc_house_of_representatives_district_048
robeson_17,124,nc_house_of_representatives_district_048
robeson_36,44,nc_house_of_representatives_district_048
robeson_ABSENTEE,101,nc_house_of_representatives_district_048
robeson_12,0,nc_house_of_representatives_district_048
robeson_15,170,nc_house_of_representatives_district_048
robeson_05A,618,nc_house_of_representatives_district_048
robeson_26A,530,nc_house_of_representatives_district_048
robeson_OS LUMBERTON BOE,1436,nc_house_of_representatives_district_048
scotland_1,373,nc_house_of_representatives_district_048
scotland_2,304,nc_house_of_representatives_district_048
scotland_5,290,nc_house_of_representatives_district_048
scotland_8,21,nc_house_of_representatives_district_048
scotland_10,227,nc_house_of_representatives_district_048
scotland_9,0,nc_house_of_representatives_district_048
scotland_6,132,nc_house_of_representatives_district_048
scotland_3,171,nc_house_of_representatives_district_048
scotland_4,159,nc_house_of_representatives_district_048
scotland_7,541,nc_house_of_representatives_district_048
scotland_ABSENTEE,83,nc_house_of_representatives_district_048
