prec_id,Brad Salmon,John Sauls,election
lee_C2,214,317,nc_house_of_representatives_district_051
lee_E2,247,249,nc_house_of_representatives_district_051
lee_OS-PAPER,6103,7892,nc_house_of_representatives_district_051
lee_B1,123,305,nc_house_of_representatives_district_051
lee_D1,222,461,nc_house_of_representatives_district_051
lee_D2,230,461,nc_house_of_representatives_district_051
lee_B2,2,5,nc_house_of_representatives_district_051
lee_A2,182,147,nc_house_of_representatives_district_051
lee_A1,177,203,nc_house_of_representatives_district_051
lee_C1,337,400,nc_house_of_representatives_district_051
lee_ABSENTEE,212,296,nc_house_of_representatives_district_051
lee_E1,258,382,nc_house_of_representatives_district_051
harnett_OS ANDERSON,60,60,nc_house_of_representatives_district_051
harnett_OS ANGIER,92,191,nc_house_of_representatives_district_051
harnett_OS ERWIN,2,5,nc_house_of_representatives_district_051
harnett_OS LOBBY,2376,2416,nc_house_of_representatives_district_051
harnett_PR28,565,1146,nc_house_of_representatives_district_051
harnett_ABSENTEE,149,280,nc_house_of_representatives_district_051
harnett_OS WESTERN,1061,961,nc_house_of_representatives_district_051
harnett_PR16,676,774,nc_house_of_representatives_district_051
harnett_PR07,281,364,nc_house_of_representatives_district_051
harnett_PR23,614,482,nc_house_of_representatives_district_051
