prec_id,Jamie Boles,election
moore_OS-DC PAPER,369,nc_house_of_representatives_district_052
moore_VSS,451,nc_house_of_representatives_district_052
moore_WAB,863,nc_house_of_representatives_district_052
moore_WEM,384,nc_house_of_representatives_district_052
moore_ABSENTEE,1753,nc_house_of_representatives_district_052
moore_WKWD,403,nc_house_of_representatives_district_052
moore_BEN,437,nc_house_of_representatives_district_052
moore_SLS,730,nc_house_of_representatives_district_052
moore_CAM,465,nc_house_of_representatives_district_052
moore_EUR-WP,1005,nc_house_of_representatives_district_052
moore_PHB2,523,nc_house_of_representatives_district_052
moore_SSP,513,nc_house_of_representatives_district_052
moore_OS-WEG PAPER,2308,nc_house_of_representatives_district_052
moore_PHB1,540,nc_house_of_representatives_district_052
moore_LTR,655,nc_house_of_representatives_district_052
moore_EWD,373,nc_house_of_representatives_district_052
moore_OS-AG PAPER,7950,nc_house_of_representatives_district_052
moore_NSP,541,nc_house_of_representatives_district_052
moore_TLT,107,nc_house_of_representatives_district_052
moore_PHA1,643,nc_house_of_representatives_district_052
moore_PHA2,424,nc_house_of_representatives_district_052
moore_PDN,775,nc_house_of_representatives_district_052
moore_OS-PFD PAPER,4680,nc_house_of_representatives_district_052
moore_OS-VRS PAPER,1019,nc_house_of_representatives_district_052
moore_WND,367,nc_house_of_representatives_district_052
moore_PHC,913,nc_house_of_representatives_district_052
moore_RBN,242,nc_house_of_representatives_district_052
moore_PBF,645,nc_house_of_representatives_district_052
moore_EKWD,279,nc_house_of_representatives_district_052
moore_EAB,645,nc_house_of_representatives_district_052
